layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011301,PRK04072,Valley View West Park,289170,0,,Recreation Facilities and Site Development,Under Construction,-96.7864578960731,32.9273181259252
Active Bond Program,1011305,PRK04225,Robert E. Lee Park-PRK04225,358768,0,,Recreation Facilities and Site Development,Under Design,-96.8020337555344,32.808199996074
Active Bond Program,1011309,PRK04637,Cedar Run Park-PRK04637,80000,0,,Playgrounds,Under Design,-96.6640354846584,32.7735681745992
Active Bond Program,1011311,PRK04689,Pleasant Oaks Park Recreation Center,1650000,0,,Recreation Facilities and Site Development,Under Construction,-96.672455661123,32.751837465898
Active Bond Program,1011315,PRK04703,Cummings Park Recreation Center,1650000,0,,Recreation Facilities and Site Development,Under Construction,-96.7710104878648,32.6988853457881
Active Bond Program,1011316,PRK04820,Anita Martinez,1000000,0,,Recreation Facilities and Site Development,Under Construction,-96.8393452476754,32.7807252223505
Active Bond Program,1011338,PRK05575,White Rock Lake (Mockingbird Point),1000000,0,,Recreation Facilities and Site Development,Under Construction,-96.7249079945459,32.8519957758428
Active Bond Program,1011386,PRK06351,West Dallas Gateway Park,1800000,0,,Major Recreational Facilities - Outdoor,Under Construction,-96.7061061915713,32.7613281349911
Active Bond Program,1011393,PRK06460,Hamilton Park Pavilion,243100,0,,Recreation Facilities and Site Development,Under Design,-96.7652434404726,32.9145535085017
Active Bond Program,1011413,PRK06552,Exposition Plaza-PRK06552,234000,0,,Recreation Facilities and Site Development,Under Design,-96.7736280736205,32.7837174771389
Active Bond Program,1011415,PRK06627,Freedman's Memorial Cemetery-PRK06627,133705,0,,Recreation Facilities and Site Development,Under Design,-96.7938169558949,32.8029935437889
Active Bond Program,1011423,PRK06641,Hillcrest Park Site Improvements,282366,0,,Recreation Facilities and Site Development,Under Construction,-96.78660654933,32.9368766974219
Active Bond Program,1011430,PRK06649,Livestock Sales Arena,4000000,0,,Fair Park,Under Design,-96.7571627757164,32.7809434482102
Active Bond Program,1011434,PRK06653,Grover Keeton Golf Course,1000000,0,,Major Recreational Facilities - Outdoor,Under Design,-96.709288545553,32.7544264367213
Active Bond Program,1011441,PRK06662,Singing Hills Park Recreation Center,1059995,0,,Recreation Facilities and Site Development,Under Design,-96.793035344078,32.6687655208437
Active Bond Program,1011442,PRK06663,Hamilton Park Recreation Center,250000,0,,Recreation Facilities and Site Development,Under Design,-96.7634474527588,32.9170265677648
Active Bond Program,1011443,PRK06664,Hamilton Park Open-Air Gymnasium,400000,0,,Recreation Facilities and Site Development,Under Design,-96.7640848768293,32.9171253317773
Active Bond Program,1011449,PRK06671,White Rock Lake Trail - East Lawther replacement,2000000,0,,Recreation Facilities and Site Development,Under Design,-96.7186675835029,32.8510424358635
Active Bond Program,1011458,PRK06681,Continental Pedestrian Bridge-PRK06681,2000000,0,,Recreation Facilities and Site Development,Under Construction,-96.8173195543932,32.7836366417975
Active Bond Program,1011459,PRK06683,South Central/Joppa Gateway,1200000,0,,Recreation Facilities and Site Development,Under Design,-96.7426607082405,32.7192194387933
