"X","the_geom","geoid","HUD_ID","Y","project","proj_add","proj_cty","proj_st","proj_zip","COMPANY","ALLOCAMT","N_UNITS","LI_UNITS","P_LI_Units","N_Room","INC_CEIL","LOW_CEIL","CEILUNIT","YR_PIS","YR_ALLOC","NON_PROF","Funding","BASIS","BOND","FMHA_514","FMHA_515","FMHA_538","HOME","HOME_AMT","CDBG","CDBG_AMT","FHA","HOPEVI","HPVI_AMT","RENTASST","MFF_RA","TCAP","TCEP","TRGT_POP","TRGT_FAM","TRGT_ELD","TRGT_DIS","TRGT_HML","trgt_spc","TYPE","CREDIT","DDA","QCT","NONPROG","D_TRGT_ELD"
"-96.7282867432","POINT (-96.72828674299996 32.891387939000026)","481130078271","TXA1996025","32.8913879395","BROOKVIEW APT HOMES","8303 SKILLMAN ST","DALLAS","TX","75231","AHM FOUNDATION","-9,999","160","112","70","0 Eff, 100 1BR, 44 2BR, 0 3BR, 0 4BR",,,"0","1,996","1,995","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7804489136","POINT (-96.78044891399998 32.80693054200003)","481130008003","TXA0000413","32.806930542","MONARCH TOWNHOMES","2008 KIRBY ST","DALLAS","TX","75204",,"-9,999","65","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8659133911","POINT (-96.86591339099994 32.72106170700005)","481130108041","TXA1995275","32.7210617065","OAKRIDGE APTS","2803 W ILLINOIS AVE","DALLAS","TX","75233","BEVERLY PARTNERS LTD","-9,999","46","46","100","0 Eff, 14 1BR, 32 2BR, 0 3BR, 0 4BR",,,"0","1,995","1,993","No","Increase in eligible basis","Yes","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Both 30% and 70% present value","Not in DDA","In a qualified tract","Yes","0"
"-96.8156048125","POINT (-96.81560481299994 32.75389615300003)","481130020003","TXA1991365","32.7538961528","PRINCE WILLIAM","504 N MARSALIS AVE","DALLAS","TX","75203","BBH ENTERPRISES INC","-9,999","12","12","100","0 Eff, 0 1BR, 5 2BR, 0 3BR, 0 4BR",,,"0","1,991","1,989","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"New Construction","Not Indicated","Not in DDA","In a qualified tract","Yes","0"
"-96.8724822998","POINT (-96.87248229999994 32.87433624300007)","481130098044","TXA1994070","32.8743362427","CORNERSTONE CHASE APTS","3120 VALLEY MEADOW DR","DALLAS","TX","75220","CORNERSTONE","-9,999","166","166","100","0 Eff, 58 1BR, 68 2BR, 0 3BR, 0 4BR",,,"0","1,994","1,992","Yes",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6826171875","POINT (-96.68261718799994 32.76686859100005)","481130090005","TXA1993170","32.7668685913","SKYLINE APTS","3402 S BUCKNER BLVD","DALLAS","TX","75227","SOUTH BUCKNER LP","-9,999","272","272","100","0 Eff, 116 1BR, 156 2BR, 0 3BR, 0 4BR",,,"0","1,993","1,992","Yes",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6555099487","POINT (-96.65550994899996 32.75175857500005)","481130120004","TXA2006460","32.7517585754","ST AUGUSTINE ESTATES","2222 N ST AUGUSTINE DR","DALLAS","TX","75227","ST AUGUSTINE ESTATE APTS LP","559,841","150","150","100","0 Eff, 75 1BR, 75 2BR, 0 3BR, 0 4BR","60% AMGI","No","0","2,006","2,005",,"Increase in eligible basis","Yes",,,"No",,"No","0",,"0",,,"0",,,,,"Yes","No","Yes",,,,"New Construction","30 % present value","Not in DDA","In a qualified tract","Yes","1"
"-96.754643","POINT (-96.75464299999999 32.737356000000034)","481130115003","TXA2012840","32.737356","BUCKEYE TRAIL COMMONS","6707 BUCKEYE CMNS","DALLAS","TX","75215","BEXAR PARC LP","-9,999","207","207","100",,"60% AMGI",,"0","2,012","2,011","No","Rental assistance contract","No","No",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"Not Indicated","Not Indicated","Not in DDA","In a qualified tract","Yes","0"
"-96.857793","POINT (-96.85779299999996 33.01162500000004)","481210216161","TXA1995385","33.011625","FOUNTAINS OF ROSEMEADE","3440 E ROSEMEADE PKWY","CARROLLTON","TX","75007","NORSTAR FOUNTAINS OF ROSEMEADE LLC","-9,999","382","382","100","0 Eff, 196 1BR, 136 2BR, 0 3BR, 2 4BR","60% AMGI",,"0","1,995","1,993","No",,"No","No",,"No",,"No","0",,"0",,,"0",,,,,"Yes","No","No","No","No","UNSPECIFIED","Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7691955566","POINT (-96.76919555699999 32.77236938500005)","481130203002","TXA1997045","32.7723693848","EBAN VILLAGE APTS","2929 PARK ROW AVE","DALLAS","TX",,"EBAN VILLAGE I LTD","-9,999","110","110","100","0 Eff, 30 1BR, 70 2BR, 0 3BR, 0 4BR",,,"0","1,997","1,995","No","Increase in eligible basis","Yes","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.8006591797","POINT (-96.80065917999997 32.78382873500004)","481130021001","TXA0000249","32.7838287354","CITY WALK AT AKARD","511 N AKARD ST","DALLAS","TX","75201",,"-9,999","198","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.7950820923","POINT (-96.79508209199997 32.77997970600006)","481130031011","TXA2012834","32.7799797058","ATMOS LOFTS","300 S ST PAUL ST","DALLAS","TX","75201","ATMOS LIHTC LLC","-9,999","107","107","100",,"60% AMGI",,"0","2,012","2,010","No",,"No","No",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"Not Indicated","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6671851426","POINT (-96.66718514299998 32.692439740000054)","481130116022","TXA2010811","32.69243974","HACIENDA DEL SOL","1207 GALICIA LN","DALLAS","TX","75217","GS 360 HOUSING LLC","-9,999","55","55","100","0 Eff, 0 1BR, 0 2BR, 0 3BR, 10 4BR","60% AMGI",,"0","2,010","2,009","No","TCEP funds","No","No",,,,"No","0","No","0",,,"0",,,,"Yes","No",,,,,,"Not Indicated","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8656387329","POINT (-96.86563873299997 32.64548873900003)","481130166052","TXA2004240","32.645488739","PROVIDENCE ON THE PARK","8501 OLD HICKORY TRAIL","DALLAS","TX","75237","OLD HICKORY TRACK D LTD","-9,999","280","280","100",,,,"0","2,004","2,002","No","Tax-exempt bond received","No","Yes",,,,"No","0",,"0",,,"0",,,,,,,,,,,"New Construction","30 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.7365112305","POINT (-96.73651122999996 32.76317977900004)","481130115001","TXA0000541","32.7631797791","SOUTHDALE APTS","3727 DIXON AVE","DALLAS","TX","75210",,"-9,999","187","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8906936646","POINT (-96.89069366499996 32.70655441300005)","481130108051","TXA2007345","32.7065544128","SPHINX AT LUXAR VILLAS","3110 S COCKRELL HILL RD","DALLAS","TX","75236","SPHINX DEVELOPMENT CORP","858,445","100","96","96","0 Eff, 23 1BR, 42 2BR, 0 3BR, 0 4BR","60% AMGI","Yes","10","2,007","2,005","No","Increase in eligible basis","Yes","No",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"New Construction","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.8721472589","POINT (-96.87214725899997 32.87571939700007)","481130098044","TXA1992130","32.8757193967","MANOR ON THE PARK","3122 PARK LN","DALLAS","TX","75220","MITCHELL KENNETH H CPA","-9,999","86","86","100","0 Eff, 26 1BR, 43 2BR, 0 3BR, 0 4BR",,,"0","1,992","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
