GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113011401,Census Tract 114.01,4260789,2.0,480.0,435.0,2023.0,0,0,355,0,290,0,646,0.0,0.0,,0.0,False,30,224,1155,2.597,RESICAP TEXAS OWNER LLC,WEST FORK PROPERTIES LLC,RESICAP TEXAS OWNER II LLC
48113018120,Census Tract 181.20,4875814,0.0,0.0,0.0,,0,0,19,0,0,0,19,0.0,0.0,,0.0,False,16,143,1458,1.097,HUYNH REVOCABLE LIVING TRUST,PROGRESS RESIDENTIAL,SCHUMAN LLC
48113013615,Census Tract 136.15,1197538,1.0,206.0,206.0,1996.0,0,0,8,0,0,0,8,0.0,0.0,,0.0,False,0,8,141,0.0,,,
48113013617,Census Tract 136.17,1820642,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,2,44,910,0.22,WH1 LLC,,
48113013619,Census Tract 136.19,2982510,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,1,85,1829,0.055,MILLENNIUM TRUST COMPANY LLC,,
48113018121,Census Tract 181.21,3422279,1.0,144.0,144.0,2012.0,0,0,63,0,0,0,63,0.0,0.0,,0.0,False,56,216,1700,3.294,CF KL ASSETS 20191 LLC,CF KL ASSETS 2019 1 LLC,CERBERUS SFR HOLDINGS LP
48113018126,Census Tract 181.26,3089453,0.0,0.0,0.0,,0,0,56,0,0,0,56,0.0,0.0,,0.0,False,62,285,2220,2.793,TCHARYKOW INVESTMENTS LLC,RH PARTNERS OWNERCO 2 LLC,LIVAY LLC
48113018127,Census Tract 181.27,1337269,0.0,0.0,0.0,,0,0,8,0,0,0,8,0.0,0.0,,0.0,False,11,107,837,1.314,TRUE DFW HOMES-1 LLC,SPECTRUM HOMES LLC,A & R TEXAS PROPERTIES LLC
48113013715,Census Tract 137.15,804143,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,5,88,645,0.775,SWH 2017 1 BORROWER LP,BAF ASSETS 3 LLC,RESICAP TEXAS OWNER III LLC
48113013716,Census Tract 137.16,3918829,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,8,172,1517,0.527,AES RE MANAGEMENT LLC,ARNS INVESTMENTS LLC,F Z HOMES LLC
