GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present
48113014126,Census Tract 141.26,12384782,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113014203,Census Tract 142.03,1657175,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014204,Census Tract 142.04,4828675,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False
48113014306,Census Tract 143.06,2318078,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113012601,Census Tract 126.01,2215506,0.0,0.0,0.0,,0,0,7,0,0,6,13,0.0,0.0,,0.0,False
48113012701,Census Tract 127.01,2804380,0.0,0.0,0.0,,1,0,128,0,200,0,329,0.0,0.0,,0.6894055125438219,True
48113012702,Census Tract 127.02,1201965,0.0,0.0,0.0,,0,0,1,0,0,3,4,0.0,0.0,,0.9990344831339235,True
48113012900,Census Tract 129,4747860,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014310,Census Tract 143.10,1881325,1.0,180.0,144.0,2005.0,0,0,275,0,0,0,275,0.0,0.0,,0.0,False
48113014405,Census Tract 144.05,1839711,2.0,155.0,155.0,1992.0,0,0,22,0,49,0,71,0.0,0.0,,0.0,False
48113014406,Census Tract 144.06,2025185,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014407,Census Tract 144.07,1720772,0.0,0.0,0.0,,0,0,9,0,0,0,9,0.0,0.0,,0.0,False
48113014408,Census Tract 144.08,1813391,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False
48113014309,Census Tract 143.09,681479,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113013620,Census Tract 136.20,1733152,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False
48113006402,Census Tract 64.02,1332156,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113010804,Census Tract 108.04,1973916,3.0,576.0,576.0,2004.0,0,0,191,0,0,0,191,0.0,0.0,,0.0,False
48113010805,Census Tract 108.05,3055486,2.0,225.0,221.0,2007.0,0,0,85,0,150,0,235,0.0,0.0,,0.0,False
48113006401,Census Tract 64.01,778638,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013104,Census Tract 131.04,538242,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113019041,Census Tract 190.41,1248027,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False
48113007823,Census Tract 78.23,1609453,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.5558750363513811,True
48113007822,Census Tract 78.22,1535099,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.6942115061522954,True
48113007821,Census Tract 78.21,1303242,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,1.0,Transformance,0.9899450635132547,True
48113013011,Census Tract 130.11,991794,0.0,0.0,0.0,,0,0,78,0,0,0,78,0.0,0.0,,0.0,False
48113007827,Census Tract 78.27,519248,0.0,0.0,0.0,,0,0,20,0,0,0,20,0.0,0.0,,0.0,False
48113013005,Census Tract 130.05,1999227,0.0,0.0,0.0,,0,0,0,0,0,1,1,0.0,0.0,,0.0,False
48113013007,Census Tract 130.07,1581107,1.0,82.0,82.0,1990.0,0,0,8,0,0,0,8,0.0,0.0,,0.0,False
48113013008,Census Tract 130.08,1806691,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013009,Census Tract 130.09,1743751,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013101,Census Tract 131.01,2620901,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113007826,Census Tract 78.26,591801,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0001500978387796771,False
48113007824,Census Tract 78.24,1169518,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.01638792772783879,True
48113007825,Census Tract 78.25,1781420,0.0,0.0,0.0,,0,0,19,0,0,0,19,0.0,0.0,,0.0,False
48113013102,Census Tract 131.02,1358524,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014501,Census Tract 145.01,1873729,0.0,0.0,0.0,,0,0,10,0,0,0,10,0.0,0.0,,0.0,False
48113014502,Census Tract 145.02,1997685,1.0,58.0,50.0,2020.0,0,0,8,0,0,0,8,0.0,0.0,,0.0,False
48113014602,Census Tract 146.02,1947504,1.0,132.0,132.0,1994.0,0,0,10,0,0,0,10,0.0,0.0,,0.0,False
48113014701,Census Tract 147.01,1365100,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113007910,Census Tract 79.10,497027,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113007909,Census Tract 79.09,499418,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013806,Census Tract 138.06,5902443,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013727,Census Tract 137.27,5153212,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113014205,Census Tract 142.05,2799708,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113016412,Census Tract 164.12,5505975,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113013300,Census Tract 133,2486041,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013400,Census Tract 134,2238796,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013500,Census Tract 135,2971705,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013605,Census Tract 136.05,2812145,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113013606,Census Tract 136.06,2334540,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False
48113013608,Census Tract 136.08,4490566,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113015202,Census Tract 152.02,1338141,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False
48113015205,Census Tract 152.05,1042093,0.0,0.0,0.0,,0,0,14,0,0,0,14,0.0,0.0,,0.0,False
48113015206,Census Tract 152.06,1445146,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
