GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi,income_2023,home_val_2023,renter_share_2023,pct_black_2023,pct_hispanic_2023,pct_nonwhite_2023,total_units_2023,pop_2023,z_home_val,z_income,invest_tool_pressure,z_tools,z_vendor,z_denial,gent_pressure,pct_renter_2023,vuln_index,bates_vulnerable_v2,demo_pressure,bates_typology_v2,income_2013,home_val_2013,renter_share_2013,pct_black_2013,pct_hisp_2013,renter_share_2013,income_chg_pct,income_real_chg_pct,home_val_chg_pct,renter_share_chg,black_share_chg,hisp_share_chg,demo_change_real,real_gent_signal,bates_typology_v21
48113013609,Census Tract 136.09,3486,89375.0,4.3,41.6,45.9,52.6,41.5,0,0,0,0.5,0,,0,0,Stable,0,0.0687804571792022,Accelerating,0,16.0,2.0,0.3137254901960784,0.125,24.891685940771367,Low,0.1053632496070816,89375.0,751300.0,0.5255474452554745,0.0427423981640849,0.4159495123350545,0.5430292598967298,1096.0,3486.0,1.471989578037115,0.0938352455526714,0.0,-0.3569657034940823,0.0,-0.0263327236259259,0.4494137378276375,0.5255474452554745,-0.2428926359540349,0,0,Historic Loss,75121.0,413800.0,0.5433932759968726,0.10611183355006502,0.2686605981794538,0.5433932759968726,18.97472078380213,-17.02527921619787,81.56114064765588,-0.017845830741398117,-0.06336943538598011,0.1472889141556007,1,0,Historic Loss
48113013610,Census Tract 136.10,3705,80053.0,4.9,38.9,43.8,33.5,31.7,0,0,0,0.5,0,,0,0,Stable,0,-0.2802035266278171,Adjacent,0,28.0,2.0,0.28,0.0714285714285714,23.4952837850797,Low,0.1059310423804757,80053.0,381500.0,0.3351351351351351,0.0488529014844804,0.3889338731443995,0.5201079622132254,1480.0,3705.0,0.1155682765995859,-0.1144259749123236,0.0,-0.3569657034940823,0.0,-0.2726010496310907,-0.0773990227917464,0.3351351351351351,-0.2763445069253004,0,0,Stable,75871.0,199100.0,0.31382636655948554,0.0869874377814648,0.3526902109504622,0.31382636655948554,5.511987452386288,-30.488012547613714,91.61225514816675,0.021308768575649617,-0.038134536296984364,0.036243662193937265,1,0,Stable
48113013611,Census Tract 136.11,2693,137327.0,4.1,11.2,15.3,32.6,8.4,0,0,0,0.5,0,,0,0,Stable,0,-0.931873129789928,Sustained,0,11.0,0.0,0.2619047619047619,0.0,16.060682633511842,Low,0.1018300824684874,137327.0,961500.0,0.3260045489006823,0.0371333085777942,0.1117712588191608,0.1823245451169699,1319.0,2693.0,2.2430002799358943,1.1651227421990396,0.0,-0.3569657034940823,0.0,-0.4047350517900082,0.9870893576538022,0.3260045489006823,-1.0367197611509122,0,0,Historic Loss,100104.0,515300.0,0.46508058326937834,0.026856903063365505,0.07259756609315988,0.46508058326937834,37.18432829856948,1.1843282985694827,86.59033572676111,-0.13907603436869603,0.010276405514428776,0.03917369272600091,0,0,Historic Loss
48113015306,Census Tract 153.06,6443,93884.0,11.2,46.1,57.3,26.3,31.9,0,0,0,0.5,0,,0,0,Stable,0,-0.2203090942923409,Accelerating,0,31.0,3.0,0.3604651162790697,0.0967741935483871,25.87863861401892,Moderate,0.0283779731482009,93884.0,288000.0,0.2634408602150537,0.1119043923638056,0.4606549743908117,0.7870557193853795,2046.0,6443.0,-0.2273884342830775,0.1945700495729098,0.0,-0.3569657034940823,0.0,0.3149666735553798,-0.1201848654793702,0.2634408602150537,0.0586640683399355,0,0,Historic Loss,62955.0,144200.0,0.3093891402714932,0.09986452486936327,0.239597445326108,0.3093891402714932,49.128742752759905,13.128742752759905,99.72260748959778,-0.04594828005643947,0.012039867494442413,0.22105752906470372,0,0,Historic Loss
48113015403,Census Tract 154.03,3768,54110.0,41.7,43.0,84.7,69.8,47.5,0,0,0,0.5,0,,0,0,Stable,1,1.2133432586276778,Low,0,4.0,0.0,0.1818181818181818,0.0,32.312056084467294,Moderate,0.0330911236379305,54110.0,242600.0,0.6983122362869199,0.4004777070063694,0.4296709129511677,0.8450106157112527,1422.0,3768.0,-0.3939150083373334,-0.6940141365217816,0.0,-0.3569657034940823,0.0,-0.9895386498617724,-0.4006152129220326,0.6983122362869199,0.2030422509966077,1,0,Susceptible,33958.0,113100.0,0.6375727348295926,0.10760492268854528,0.6033449037551278,0.6375727348295926,59.34389540020025,23.343895400200253,114.50044208664897,0.060739501457327205,0.29287278431782415,-0.17367399080396012,1,1,Early: Type 1
48113015404,Census Tract 154.04,4124,52064.0,13.1,74.0,87.1,72.8,20.7,0,0,0,0.5,0,,0,0,Stable,1,0.8082086723039982,Low,0,6.0,0.0,0.1538461538461538,0.0,29.91807755941418,Moderate,0.0323223321330208,52064.0,156700.0,0.7275300778485492,0.096023278370514,0.7395732298739088,0.8913676042677012,1413.0,4124.0,-0.7089950240038659,-0.7397234754052164,0.0,-0.3569657034940823,0.0,-1.1937943764232202,-0.5223205531261778,0.7275300778485492,0.2445146715356547,1,0,Susceptible,35719.0,63500.0,0.6700955180014695,0.13749130535590076,0.6811963830280547,0.6700955180014695,45.75995968532154,9.75995968532154,146.77165354330708,0.05743455984707968,-0.041468026985386694,0.05837684684585409,1,0,Susceptible
48113015500,Census Tract 155,3661,71441.0,8.0,67.4,75.4,64.2,16.4,0,0,0,0.5,0,,0,0,Stable,0,0.0051259484783813,Low,0,19.0,2.0,0.4318181818181818,0.1052631578947368,27.418874177182616,Moderate,0.0026519832082172,71441.0,228400.0,0.6419457735247209,0.0773012838022398,0.6738596012018574,0.7609942638623327,1254.0,3661.0,-0.4460004125569464,-0.3068252058332137,0.0,-0.3569657034940823,0.0,0.8359969062811662,-0.3220478717267552,0.6419457735247209,0.2697338693827119,0,0,Stable,36275.0,106500.0,0.5961995249406176,0.04642857142857143,0.6913265306122449,0.5961995249406176,96.94279807029635,60.94279807029635,114.46009389671362,0.045746248584103366,0.0308727123736684,-0.01746692941038752,0,1,Stable
48113015600,Census Tract 156,5569,74089.0,1.5,78.4,79.9,35.9,26.1,0,0,0,0.5,0,,0,0,Stable,0,-0.0363204855958525,Low,0,27.0,0.0,0.5094339622641509,0.0,29.224846383605225,Moderate,0.0035429091587884,74089.0,147800.0,0.3594855305466238,0.008260010773927,0.7836236308134314,0.8635302567785959,1555.0,5569.0,-0.7416401012964403,-0.2476666870828053,0.0,-0.3569657034940823,0.0,1.402758373968768,-0.4107321330979759,0.3594855305466238,0.4375503458850491,0,0,Stable,37375.0,65000.0,0.36722408026755854,0.024854076445113914,0.8450385991338731,0.36722408026755854,98.2314381270903,62.2314381270903,127.38461538461539,-0.00773854972093474,-0.01659406567118682,-0.06141496832044169,0,1,Stable
48113007914,Census Tract 79.14,3338,70730.0,15.7,8.0,23.7,89.3,26.5,0,0,0,0.5,1,University Crossing PID,0,1,Stable,0,-0.0622954489741542,Adjacent,0,4.0,1.0,0.1333333333333333,0.25,19.431881639884104,Low,0.1524763765920432,70730.0,292200.0,0.893491124260355,0.1503894547633313,0.0796884361893349,0.4248052726183343,2197.0,3338.0,-0.2119828921899525,-0.3227095362076625,0.0,-0.3569657034940823,0.0,-1.343581909234948,-0.2441128221919196,0.893491124260355,-0.4444062688017872,0,0,Stable,50250.0,108000.0,0.8513082322910019,0.10586011342155009,0.10283553875236295,0.8513082322910019,40.756218905472636,4.756218905472636,170.55555555555554,0.0421828919693531,0.044529341341781256,-0.023147102563028016,0,0,Stable
48113013625,Census Tract 136.25,3014,62250.0,44.7,21.5,66.2,100.0,16.6,0,0,0,0.5,0,,0,0,Stable,0,0.2371122041769263,Low,0,1.0,1.0,1.0,1.0,25.82997064650657,Moderate,0.1390603580342984,62250.0,,1.0,0.446914399469144,0.2153284671532846,0.7856668878566688,1427.0,3014.0,-0.3022153530211132,-0.5121597775231698,0.0,-0.3569657034940823,0.0,4.984941352060571,-0.3230567438117026,1.0,1.0118555663454305,0,0,Stable,31957.0,,1.0,0.23775073988819467,0.5804011838211115,1.0,94.79300309791282,58.793003097912816,,0.0,0.20916365958094935,-0.3650727166678268,0,0,Stable
48113018134,Census Tract 181.34,5066,93964.0,21.2,20.7,41.9,4.7,0.0,0,0,0,0.5,0,,0,0,Stable,0,-1.0808161915197885,Accelerating,0,47.0,8.0,0.281437125748503,0.1702127659574468,19.834137774333804,Low,0.0040528178626727,93964.0,297600.0,0.0466079751424132,0.212001579155152,0.2066719305171733,0.4909198578760363,1931.0,5066.0,-0.1921757666416489,0.1963573160004146,0.0,-0.3569657034940823,0.0,-0.2621069530209279,-0.107413615197994,0.0466079751424132,-0.419185119415422,0,0,Historic Loss,87839.0,149400.0,0.18534718425369054,0.1776493951976891,0.15923451886622134,0.18534718425369054,6.97298466512597,-29.02701533487403,99.19678714859438,-0.1387392091112773,0.034352183957462895,0.04743741165095197,0,0,Historic Loss
48113017605,Census Tract 176.05,4040,61042.0,39.5,55.6,95.1,30.7,35.9,0,0,0,0.5,0,,0,0,Stable,0,0.217803515096775,Low,0,15.0,8.0,0.2884615384615384,0.5333333333333333,32.91398332575185,Moderate,0.0125055035233551,61042.0,174800.0,0.3070251517779705,0.3935643564356436,0.5561881188118812,0.9762376237623762,1153.0,4040.0,-0.6426044735549226,-0.5391475005784919,0.0,-0.3569657034940823,0.0,-0.2108136923462535,-0.4489398667623664,0.3070251517779705,0.4028896353476375,0,0,Stable,38245.0,73100.0,0.27100271002710025,0.34937439846005774,0.615255052935515,0.27100271002710025,59.607791868218065,23.607791868218065,139.12448700410397,0.03602244175087027,0.044189957975585836,-0.05906693412363373,0,1,Stable
48113011701,Census Tract 117.01,6259,58506.0,12.5,76.8,89.3,20.3,43.3,1,0,0,0.5,0,,0,0,Stable,0,0.2017052339223935,Low,0,14.0,2.0,0.3181818181818182,0.1428571428571428,32.67600994377008,Moderate,0.0201737454484146,58506.0,165600.0,0.203091684434968,0.1254193960696596,0.7678542898226554,0.9006231027320658,1876.0,6259.0,-0.6763499467112916,-0.5958038463303936,0.0,-0.3569657034940823,0.0,0.006208017125285,-0.474914868805071,0.203091684434968,0.3446846260884572,0,0,Stable,33829.0,83500.0,0.3694801565120179,0.256289519709404,0.6676981030539486,0.3694801565120179,72.94628868722103,36.94628868722103,98.32335329341318,-0.16638847207704985,-0.13087012363974432,0.10015618676870675,1,0,Stable
