ProjectNum,Name,Category,District,layer,BondAmount,AmountPaid,proj_lat,proj_lon,lat_south,nearest_vendor,nearest_vendor_dist_km,nearest_vendor_total_paid,nearest_vendor_south,weighted_avg_dist_km
1011530,Martin Weiss Park Site 1 - Pavilion,Erosion Control,TBD,Active Bond Program,68600.0,135845.78,32.7333235489185,-96.8776716381364,1,OMEGA CONTRACTING LLC,5.54,25376409.41,0,213.15
1011532,"Mercedes 6607, 6615, 6621",Erosion Control,TBD,Active Bond Program,114300.0,213621.55,32.8288059194825,-96.7462517636683,0,Universal Protection Service LP,4.57,24351490.83,0,213.78
1011533,"Rocky Branch @ Middle Downs Sites 1, 2, 3, 4",Erosion Control,TBD,Active Bond Program,666300.0,598026.44,32.8991019755641,-96.7335519469235,0,Talley Riggins Construction Group LLC,5.84,17234844.34,0,216.76
1011535,Rosemont Rd. 7322,Erosion Control,TBD,Active Bond Program,114300.0,277773.0,32.7257669843737,-96.6957778019088,1,Good Earth Corporation,4.75,20074981.35,0,215.62
1011536,Royal Lane 7832 and 7920,Erosion Control,TBD,Active Bond Program,493600.0,644747.38,32.8975450268467,-96.7708352831208,0,Trinity Alliance Ventures LLC,4.69,34272683.17,0,215.53
1011537,Royal Lane 9750 (Jackson Branch - E. Bank downstream of Royal Bridge),Erosion Control,TBD,Active Bond Program,259400.0,305061.75,32.8938198678531,-96.7307080986262,0,Talley Riggins Construction Group LLC,6.27,17234844.34,0,216.63
1011538,Skillman 7920 (Jackson Branch - E. Bank downstream of Skillman Br),Erosion Control,TBD,Active Bond Program,518900.0,207878.93,32.8885734049834,-96.7318751278206,0,Talley Riggins Construction Group LLC,6.85,17234844.34,0,216.37
1011540,Skillman 8109,Erosion Control,TBD,Active Bond Program,163400.0,501243.06,32.8910435502455,-96.7307050958364,0,Talley Riggins Construction Group LLC,6.56,17234844.34,0,216.51
1011541,Spring Grove 13316,Erosion Control,11,Active Bond Program,74000.0,188012.31,32.9293270317004,-96.778271615693,0,Trinity Alliance Ventures LLC,1.22,34272683.17,0,216.87
1011542,Spring Valley 8444,Erosion Control,TBD,Active Bond Program,297100.0,426402.35,32.9392848265096,-96.7566217680253,0,Trinity Alliance Ventures LLC,2.86,34272683.17,0,218.02
1011543,"Springwater 9204, 9210, 9216",Erosion Control,TBD,Active Bond Program,297100.0,521234.69,32.8177433596135,-96.6969825985407,0,Good Earth Corporation,5.76,20074981.35,0,215.63
1011546,"Summer Creek Circle 6121, 6123, 6125,6127,6139,6141",Erosion Control,TBD,Active Bond Program,434200.0,398748.62,32.8629771720549,-96.7561937303991,0,Universal Protection Service LP,7.11,24351490.83,0,214.54
1011547,"Tamarack 1745, 1739, 1751",Erosion Control,TBD,Active Bond Program,308500.0,98128.35,32.8232847404261,-96.6844862683812,0,Good Earth Corporation,6.24,20074981.35,0,216.34
1011548,Tranquilla Dr. 1251,Erosion Control,TBD,Active Bond Program,109700.0,17656.69,32.8340765024831,-96.6983442055466,0,Good Earth Corporation,7.56,20074981.35,0,215.92
1011549,Turtle Creek Greenbelt Site 1 - bike trail,Erosion Control,TBD,Active Bond Program,222800.0,305927.15,32.8108967560412,-96.8010814354243,0,Universal Protection Service LP,1.69,24351490.83,0,211.77
1011550,Twin Creek 9726,Erosion Control,TBD,Active Bond Program,123500.0,900499.06,32.8238388216396,-96.6891780396662,0,Good Earth Corporation,6.32,20074981.35,0,216.12
1011551,Twin Falls Park Trail,Erosion Control,TBD,Active Bond Program,257100.0,853948.71,32.6722077499811,-96.8391605849693,1,DALLAS ZOO MANAGEMENT INC,8.74,22341228.84,0,215.03
1011552,Whitehurst 9727 (Jackson Branch - E. Bank upstream of Whitehurst Br),Erosion Control,TBD,Active Bond Program,345900.0,46215.25,32.9015003020473,-96.7279202185161,0,Talley Riggins Construction Group LLC,5.38,17234844.34,0,217.07
1011553,Whitehurst 9730 (Audelia Branch - W. Bank downstream of Whitehurst),Erosion Control,TBD,Active Bond Program,444800.0,377385.41,32.9007675707733,-96.7274299295308,0,Talley Riggins Construction Group LLC,5.44,17234844.34,0,217.05
1011554,Wild Oak 2488,Erosion Control,TBD,Active Bond Program,148300.0,172653.24,32.799318084974,-96.7098653153642,0,Good Earth Corporation,4.33,20074981.35,0,214.74
1011558,Levee Drainage System - Sump A (Able Pump Station),Flood Management,TBD,Active Bond Program,91700000.0,71416276.4,32.7687527324043,-96.8091660316484,0,Kay Bailey Hutchison Convention Center,1.1,53138383.01,0,211.46
1011646,NE Patrol Station,Police Facilities,10,Active Bond Program,1075000.0,396446.52,32.8635054196547,-96.7158361081273,0,Talley Riggins Construction Group LLC,9.24,17234844.34,0,216.03
1011660,Southwest Transfer Station (24410),City Facilities,03,Active Bond Program,205000.0,3610.03,32.6879465199656,-96.8813421132485,1,DALLAS ZOO MANAGEMENT INC,9.49,22341228.84,0,214.9
1011806,Prairie Creek Bridge over UPRR Tracks,Intergovernmental Partnership Projects,07,Active Bond Program,9200000.0,1865195.37,32.7765027420688,-96.6652774884327,0,Good Earth Corporation,2.0,20074981.35,0,216.74
1012649,Ferguson Rd and Lakeland Dr Intersection Improvements,Streetscape / Urban Design,07,Active Bond Program,750000.0,700602.2,32.8119136905519,-96.7013307734345,0,Good Earth Corporation,5.24,20074981.35,0,215.32
1012699,Dallas Zoo (Match),Dallas Zoo,04,Active Bond Program,3500000.0,3217469.33,32.7363098491676,-96.816219145252,1,DALLAS ZOO MANAGEMENT INC,1.38,22341228.84,0,212.36
1012702,Bachman Lake Skatepark,Major Park Facilities,06,Active Bond Program,4000000.0,4347565.83,32.8538837306003,-96.8661746865703,0,"Flatiron Dragados Constructors, Inc.",4.09,15832846.24,0,212.98
1012706,Crawford Memorial Park - Phase 1,Hike and Bike Trails,05,Active Bond Program,7700000.0,217585.0,32.7132593621763,-96.669617313063,1,Good Earth Corporation,6.14,20074981.35,0,217.01
1012744,Glendale Park- Parking Spaces & Lighting,Community Parks,03,Active Bond Program,400000.0,469486.49,32.6827531442209,-96.7972179472227,1,DALLAS ZOO MANAGEMENT INC,7.09,22341228.84,0,214.46
1012769,"Frances Rizo Park - Playground replacement, ADA drinking fou",Neighborhood Park Facilities,06,Active Bond Program,250000.0,13925.0,32.771043221637,-96.9063669928102,0,OMEGA CONTRACTING LLC,3.52,25376409.41,0,212.99
1012770,Stafford Park - Playground and park furnishings,Playground Improvement,06,Active Bond Program,220000.0,14500.0,32.7707563401116,-96.8395621861832,0,OMEGA CONTRACTING LLC,3.27,25376409.41,0,211.63
1012771,Hattie R. Moore Park - Master Plan and Phase 1 Implementatio,,06,Active Bond Program,350000.0,36166.8,32.7802974295357,-96.8387924832269,0,OMEGA CONTRACTING LLC,3.06,25376409.41,0,211.51
1012836,Anderson Bonner - Playground - New,,11,Active Bond Program,220000.0,167988.86,32.9178441731704,-96.7778866712332,0,Trinity Alliance Ventures LLC,2.34,34272683.17,0,216.3
1012885,Food and Fiber Building,Fair Park,99,Active Bond Program,1500000.0,340663.57,32.7816132587163,-96.7596979802213,0,"GTS Technology Solutions, Inc",2.31,19431158.73,0,212.55
1012891,Science Place 1 (Phase 1),Fair Park,99,Active Bond Program,5110000.0,1756288.0,32.7771419281585,-96.7623386374671,0,"GTS Technology Solutions, Inc",1.8,19431158.73,0,212.45
1012892,Magnolia Lounge,Fair Park,07,Active Bond Program,900000.0,506221.57,32.77935290704,-96.7637761822441,0,"GTS Technology Solutions, Inc",1.86,19431158.73,0,212.4
1013017,"El Cerrito Storm Drainage, 2470",Storm Drainage,07,Active Bond Program,200000.0,416987.4,32.8002555855054,-96.7059813787771,0,Good Earth Corporation,4.23,20074981.35,0,214.93
1013062,Meandering Way 16209,Storm Drainage,12,Active Bond Program,74000.0,144955.34,32.9734732637467,-96.7784935355449,0,Trinity Alliance Ventures LLC,4.09,34272683.17,0,219.64
1013071,Gifford-Roanoke Area Relief System - Phase II/Brookhollow Br,Storm Drainage,02,Active Bond Program,1640000.0,62359.86,32.8345529929422,-96.860400483466,0,"Flatiron Dragados Constructors, Inc.",2.27,15832846.24,0,212.37
1013077,Kings Branch Culvert @ Denley,Storm Drainage,04,Active Bond Program,480000.0,70419.46,32.7329872681459,-96.8055033374759,1,DALLAS ZOO MANAGEMENT INC,1.45,22341228.84,0,212.5
