GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi
48113002100,Census Tract 21,3035,94451.0,23.0,14.9,37.9,96.6,15.7,0,1,0,1.0,1,Dallas DID,1,0,Historic Loss,0,-0.05646414818809403,Sustained,1,8.0,0.0,0.6666666666666666,0.0,49.28263266275066,Moderate,0.1994770133487061
48113001202,Census Tract 12.02,3490,73462.0,14.5,29.5,44.0,74.7,13.7,0,0,0,0.33,0,,0,0,Stable,0,-0.2259054110767519,Adjacent,0,17.0,1.0,0.32075471698113206,0.058823529411764705,17.390352964637334,Low,0.1393100021599227
48113001203,Census Tract 12.03,1313,144375.0,0.0,47.7,47.7,11.0,0.0,0,0,0,0.33,0,,0,0,Stable,0,-0.9753111621761958,Sustained,0,9.0,0.0,0.24324324324324326,0.0,16.598608657252978,Low,0.1395218877748363
48113016903,Census Tract 169.03,7673,58558.0,26.6,50.6,77.2,36.5,21.3,1,0,0,0.5,0,,0,0,Stable,0,-0.1358772057506207,Low,0,86.0,20.0,0.6056338028169014,0.23255813953488372,28.248509397974754,Moderate,0.1133017510519609
48113016617,Census Tract 166.17,5210,122218.0,69.1,12.6,81.7,14.4,5.3,1,0,0,0.5,0,,0,0,Stable,0,-0.557344242868782,Accelerating,0,57.0,34.0,0.41911764705882354,0.5964912280701754,27.35534121854237,Moderate,0.0006199455395022
48113008703,Census Tract 87.03,3426,36506.0,28.6,68.4,97.0,31.5,37.1,1,0,0,1.0,0,,0,0,Stable,1,0.8149121511210671,Low,0,16.0,9.0,0.21333333333333335,0.5625,45.87274085717743,Moderate,0.031042481675058
48113014002,Census Tract 140.02,2382,103672.0,12.3,14.4,26.7,65.0,11.0,0,0,0,0.5,0,,0,0,Stable,0,-0.5075465195137925,Accelerating,0,24.0,2.0,0.16326530612244897,0.08333333333333333,18.32903587854478,Low,0.0476864409680535
48113014124,Census Tract 141.24,4213,203269.0,6.2,9.6,15.8,10.5,48.8,0,0,0,0.5,0,,0,0,Stable,0,-0.436907640817012,Sustained,0,45.0,6.0,0.36,0.13333333333333333,20.38949050206148,Low,0.0701238758569302
48113014209,Census Tract 142.09,3433,123475.0,13.0,26.6,39.6,97.3,1.2,0,0,0,0.5,0,,0,0,Stable,0,-0.2801098230697425,Accelerating,0,2.0,1.0,0.08,0.5,19.557328024989964,Low,0.1194844442215445
48113018508,Census Tract 185.08,1435,34797.0,28.0,34.3,62.3,72.2,32.7,0,0,0,0.5,0,,0,0,Stable,1,0.787296492871904,Low,0,3.0,1.0,0.17647058823529413,0.3333333333333333,26.838258794950764,Moderate,0.0512921566673955
