GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113008000,319.0,26.0,0.08150470219435736,2.0,0.0,,235.0,19.0,0.08085106382978724,
48113008101,10.0,1.0,0.1,0.0,0.0,,5.0,0.0,,
48113008102,159.0,12.0,0.07547169811320754,1.0,1.0,,120.0,9.0,0.075,
48113008200,116.0,11.0,0.09482758620689655,2.0,1.0,,83.0,7.0,0.08433734939759036,
48113008401,33.0,4.0,0.12121212121212122,0.0,0.0,,28.0,4.0,0.14285714285714285,
48113008402,17.0,2.0,0.11764705882352941,1.0,0.0,,13.0,1.0,0.07692307692307693,
48113008500,31.0,11.0,0.3548387096774194,9.0,4.0,,17.0,6.0,0.35294117647058826,
48113008604,12.0,1.0,0.08333333333333333,3.0,1.0,,6.0,0.0,,
48113008701,22.0,2.0,0.09090909090909091,1.0,0.0,,14.0,2.0,0.14285714285714285,
48113008703,46.0,4.0,0.08695652173913043,11.0,2.0,0.18181818181818182,19.0,0.0,0.0,
48113008704,46.0,11.0,0.2391304347826087,4.0,2.0,,25.0,6.0,0.24,
48113008705,14.0,2.0,0.14285714285714285,4.0,0.0,,4.0,0.0,,
48113008801,35.0,7.0,0.2,12.0,3.0,0.25,14.0,2.0,0.14285714285714285,1.75
48113008802,64.0,12.0,0.1875,11.0,5.0,0.45454545454545453,31.0,3.0,0.0967741935483871,4.696969696969697
48113009001,22.0,4.0,0.18181818181818182,1.0,1.0,,14.0,2.0,0.14285714285714285,
48113009002,40.0,3.0,0.075,4.0,1.0,,26.0,1.0,0.038461538461538464,
48113009101,37.0,4.0,0.10810810810810811,2.0,0.0,,23.0,1.0,0.043478260869565216,
48113009103,20.0,3.0,0.15,2.0,0.0,,15.0,3.0,0.2,
48113009104,21.0,1.0,0.047619047619047616,2.0,0.0,,16.0,1.0,0.0625,
48113009105,29.0,5.0,0.1724137931034483,0.0,0.0,,18.0,3.0,0.16666666666666666,
48113009202,56.0,19.0,0.3392857142857143,0.0,0.0,,41.0,16.0,0.3902439024390244,
48113009203,23.0,5.0,0.21739130434782608,0.0,0.0,,17.0,2.0,0.11764705882352941,
48113009204,20.0,4.0,0.2,1.0,0.0,,12.0,4.0,0.3333333333333333,
48113009301,19.0,4.0,0.21052631578947367,0.0,0.0,,15.0,2.0,0.13333333333333333,
48113009303,45.0,2.0,0.044444444444444446,1.0,0.0,,26.0,2.0,0.07692307692307693,
48113009304,17.0,2.0,0.11764705882352941,6.0,0.0,,7.0,2.0,,
48113009401,175.0,18.0,0.10285714285714286,4.0,0.0,,80.0,4.0,0.05,
48113009402,126.0,7.0,0.05555555555555555,2.0,0.0,,94.0,6.0,0.06382978723404255,
48113009500,82.0,8.0,0.0975609756097561,3.0,0.0,,47.0,2.0,0.0425531914893617,
48113009603,122.0,6.0,0.04918032786885246,2.0,1.0,,76.0,3.0,0.039473684210526314,
48113009604,86.0,4.0,0.046511627906976744,3.0,1.0,,58.0,3.0,0.05172413793103448,
48113009605,29.0,3.0,0.10344827586206896,0.0,0.0,,19.0,1.0,0.05263157894736842,
48113009607,121.0,8.0,0.06611570247933884,0.0,0.0,,85.0,2.0,0.023529411764705882,
48113009608,98.0,7.0,0.07142857142857142,1.0,1.0,,67.0,5.0,0.07462686567164178,
48113009609,121.0,7.0,0.05785123966942149,0.0,0.0,,93.0,4.0,0.043010752688172046,
48113009610,5.0,2.0,0.4,0.0,0.0,,1.0,1.0,,
48113009611,78.0,15.0,0.19230769230769232,5.0,4.0,,46.0,8.0,0.17391304347826086,
48113009701,82.0,2.0,0.024390243902439025,6.0,0.0,,59.0,0.0,0.0,
48113009702,148.0,15.0,0.10135135135135136,1.0,0.0,,111.0,9.0,0.08108108108108109,
48113009802,34.0,8.0,0.23529411764705882,0.0,0.0,,12.0,1.0,0.08333333333333333,
48113009803,50.0,7.0,0.14,4.0,1.0,,30.0,2.0,0.06666666666666667,
48113009804,25.0,5.0,0.2,4.0,1.0,,14.0,3.0,0.21428571428571427,
48113009900,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
48113010001,14.0,3.0,0.21428571428571427,2.0,1.0,,4.0,0.0,,
48113010003,4.0,2.0,0.5,1.0,0.0,,1.0,1.0,,
