GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113001203,1313,144375,0.0,47.7,47.7,0,203870099.81999996,856386797.5400001,0.13952188777483635,0.5860825239391273
48113016903,7673,58558,26.6,50.6,77.2,1,165557101.22,274347336.47,0.11330175105196094,0.18775415484707356
48113016617,5210,122218,69.1,12.6,81.69999999999999,1,905867.61,500652118.71000004,0.0006199455395022097,0.34262959003092663
48113008703,3426,36506,28.6,68.4,97.0,1,45359433.84,606826338.07,0.031042481675058006,0.41529167991662325
48113014002,2382,103672,12.3,14.4,26.700000000000003,0,69679672.74,719008151.8299999,0.0476864409680535,0.4920651667772248
48113014124,4213,203269,6.2,9.6,15.8,0,102465367.97,749191903.93,0.07012387585693024,0.512721918683649
48113014209,3433,123475,13.0,26.6,39.6,0,174591284.27,777178666.53,0.1194844442215445,0.5318751243479705
48113018508,1435,34797,28.0,34.3,62.3,0,74948363.06,594186893.89,0.05129215666739557,0.40664166643266814
48113015304,4353,62553,0.6,89.6,90.2,0,41466040.28,586560176.5699999,0.02837797314820094,0.40142219580430744
48113016406,4346,57338,17.8,62.6,80.4,1,5565702.770000001,463639070.97,0.0038089811009542488,0.3172990962628634
48113018205,4021,58459,5.1,70.3,75.39999999999999,0,7571166.970000001,512276428.57,0.0051814538240063145,0.350584879488178
48113011500,4641,28040,41.9,57.0,98.9,1,85217381.8,605508859.01,0.05831993014406022,0.41439004124711104
48113005902,4992,37226,71.7,26.1,97.8,1,2458116.3499999996,601412115.62,0.0016822527375274544,0.4115863668877688
48113007601,1976,200583,0.0,10.0,10.0,0,226509126.14,721870211.31,0.15501528132464784,0.49402386470264903
48113007604,2882,250001,0.0,6.8,6.8,0,177354738.03,703681308.0899999,0.12137565968528384,0.48157598678406843
48113007605,1614,211023,0.0,5.6,5.6,0,175979266.53,694287376.91,0.12043433292657854,0.4751470940086311
48113007801,2517,93972,2.4,1.8,4.2,0,128854315.46,691585720.66,0.08818359022135433,0.47329817069691693
48113007805,2484,70270,16.0,28.5,44.5,0,155769260.68999997,691748245.8399999,0.1066032798725659,0.4734093975023414
48113004700,2560,82917,4.1,70.3,74.39999999999999,1,250808563.85000002,825406496.3499999,0.17164500497789373,0.5648806404374359
48113004800,2486,51406,0.0,94.6,94.6,1,249837575.79999995,826625361.54,0.17098049318404837,0.5657147910676754
48113005000,3018,51330,2.6,87.8,90.4,1,228314965.50999996,820513414.1,0.15625113748081282,0.5615319783572177
48113005100,2620,64421,1.2,83.1,84.3,1,228314965.50999996,820504273.0899999,0.15625113748081282,0.5615257225552511
48113005200,4159,86853,9.5,59.5,69.0,1,220550021.60999998,842502749.24,0.15093706919738023,0.5765807449608301
48113002500,4869,45167,24.3,68.8,93.1,0,203840977.43,793089544.0199999,0.13950195738370547,0.5427639975349603
