GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district,priority_rank
48113016516,Census Tract 165.16,Susceptible,1,5496,5496.0,42500.0,23.8,39.1,0,0,0.5,0.0,0.0,0.0,,103,103,0,0,0.0,0.0,,False,0.0,103.0,18.74090247452693,0.23167355035146017,0.0,0.0,0.11583677517573009,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,29
48113011004,Census Tract 110.04,Susceptible,1,2503,2503.0,57949.0,63.7,60.7,0,0,1.0,0.0,0.0,0.0,,49,49,0,0,0.0,0.0,,False,0.0,49.0,19.576508190171793,0.2420032419498529,0.0,0.0,0.12100162097492645,True,True,HIGH_PRESSURE_HIGH_READINESS,3,30
48113011300,Census Tract 113,Susceptible,1,5173,5173.0,49643.0,77.6,25.2,0,0,0.5,1.0,112.0,112.0,2012.0,92,92,0,0,0.0,0.0,,False,0.0,112.0,21.65087956698241,0.2676464564250562,0.0,0.0,0.1338232282125281,True,True,HIGH_PRESSURE_HIGH_READINESS,8,31
48113010808,Census Tract 108.08,Susceptible,1,3267,3267.0,47393.0,15.3,61.7,0,0,0.5,0.0,0.0,0.0,,72,72,0,0,0.0,0.0,,False,0.0,72.0,22.03856749311295,0.2724390238266068,0.0,0.0,0.1362195119133034,True,True,HIGH_PRESSURE_HIGH_READINESS,1,32
48113016518,Census Tract 165.18,Susceptible,1,6113,6113.0,57987.0,33.0,56.0,0,0,0.5,1.0,224.0,213.0,2007.0,159,136,0,23,0.0,0.0,,False,0.0,213.0,34.84377556028137,0.43073599057846823,0.0,0.0,0.21536799528923412,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,33
48113010805,Census Tract 108.05,Susceptible,1,5241,5241.0,52143.0,25.9,46.8,0,0,0.67,2.0,225.0,221.0,2007.0,235,85,0,150,0.0,0.0,,False,0.0,235.0,44.838771226865106,0.5542933344669121,0.0,0.0,0.27714666723345605,True,True,HIGH_PRESSURE_HIGH_READINESS,3,34
48113016709,Census Tract 167.09,Susceptible,1,3873,3873.0,46259.0,38.0,57.3,0,0,0.5,1.0,144.0,142.0,2004.0,174,174,0,0,0.0,0.0,,False,0.0,174.0,44.92641363284275,0.5553767629401024,0.0,0.0,0.2776883814700512,True,True,HIGH_PRESSURE_HIGH_READINESS,8,35
48113016534,Census Tract 165.34,Susceptible,1,3832,3832.0,58071.0,21.1,46.5,0,0,0.5,0.0,0.0,0.0,,136,15,121,0,0.0,0.0,,True,0.3802721152752898,136.0,35.49060542797495,0.4387320501132542,0.0,0.3802721152752898,0.2954204481116851,True,True,HIGH_PRESSURE_HIGH_READINESS,3,36
48113011801,Census Tract 118.01,Susceptible,1,4873,4873.0,56995.0,21.0,38.1,0,0,0.5,1.0,144.0,144.0,2005.0,235,131,5,99,0.0,0.0,,False,0.0,235.0,48.2249127847322,0.5961525479050043,0.0,0.0,0.29807627395250214,True,True,HIGH_PRESSURE_HIGH_READINESS,5,37
48113010701,Census Tract 107.01,Susceptible,1,6615,6615.0,48225.0,12.4,72.2,0,0,0.5,2.0,330.0,330.0,2013.0,77,77,0,0,0.0,0.0,,False,0.0,330.0,49.88662131519275,0.6166944569952613,0.0,0.0,0.30834722849763063,True,True,HIGH_PRESSURE_HIGH_READINESS,1,38
48113016902,Census Tract 169.02,Susceptible,1,6723,6723.0,45250.0,36.0,50.0,0,0,0.5,1.0,336.0,336.0,2017.0,198,198,0,0,0.0,0.0,,False,0.0,336.0,49.9776885319054,0.6178202227071912,0.0,0.0,0.3089101113535956,True,True,HIGH_PRESSURE_HIGH_READINESS,8,39
48113016100,Census Tract 161,Susceptible,1,3711,3711.0,31836.0,33.7,68.9,0,0,0.5,2.0,234.0,187.0,2005.0,164,54,0,111,0.0,0.0,,False,0.0,187.0,50.390730261385066,0.6229262118153426,0.0,0.0,0.3114631059076713,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,40
48113017201,Census Tract 172.01,Susceptible,1,6106,6106.0,50350.0,18.4,50.4,0,0,0.5,2.0,344.0,312.0,2021.0,129,105,0,24,0.0,0.0,,False,0.0,312.0,51.097281362594174,0.63166054050332,0.0,0.0,0.31583027025166,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,41
48113016619,Census Tract 166.19,Susceptible,1,3389,3389.0,41875.0,49.4,57.7,0,0,0.5,1.0,180.0,180.0,2003.0,126,126,0,0,0.0,0.0,,False,0.0,180.0,53.11301268810858,0.656578851314196,0.0,0.0,0.328289425657098,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,42
48113015900,Census Tract 159,Susceptible,1,3485,3485.0,43644.0,12.3,64.5,0,0,0.5,1.0,200.0,200.0,2006.0,207,95,0,112,0.0,0.0,,False,0.0,207.0,59.3974175035868,0.7342661653283736,0.0,0.0,0.3671330826641868,True,True,HIGH_PRESSURE_HIGH_READINESS,3,43
48113016610,Census Tract 166.10,Susceptible,1,3616,3616.0,45917.0,80.1,52.9,0,0,0.5,0.0,0.0,0.0,,233,129,0,104,0.0,0.0,,False,0.0,233.0,64.4358407079646,0.796550753464829,0.0,0.0,0.3982753767324145,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,44
48113016607,Census Tract 166.07,Susceptible,1,3667,3667.0,27913.0,78.7,100.0,0,0,0.5,1.0,192.0,192.0,1994.0,274,274,0,0,0.0,0.0,,False,0.0,274.0,74.7204799563676,0.9236886483447627,0.0,0.0,0.46184432417238136,True,True,HIGH_PRESSURE_HIGH_READINESS,3,45
48113008701,Census Tract 87.01,Susceptible,1,5320,5320.0,23938.0,74.5,66.8,0,0,1.0,2.0,451.0,400.0,2000.0,395,230,0,164,0.0,0.0,,False,0.0,400.0,75.18796992481202,0.9294677222655849,0.0,0.0,0.46473386113279247,True,True,HIGH_PRESSURE_HIGH_READINESS,8,46
48113010903,Census Tract 109.03,Susceptible,1,4418,4418.0,37090.0,54.9,81.6,0,0,0.5,1.0,112.0,112.0,1995.0,202,202,0,0,0.0,0.0,,True,0.9589091868859608,202.0,45.7220461747397,0.565212309334251,0.0,0.9589091868859608,0.4743879920443177,True,True,HIGH_PRESSURE_HIGH_READINESS,3,47
48113011401,Census Tract 114.01,Susceptible,1,6111,6111.0,36888.0,78.1,57.3,0,0,0.5,2.0,480.0,435.0,2023.0,646,355,0,290,0.0,0.0,,False,0.0,646.0,105.71101292750777,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,8,48
48113010804,Census Tract 108.04,Susceptible,1,5281,5281.0,37841.0,25.6,82.7,0,0,1.0,3.0,576.0,576.0,2004.0,191,191,0,0,0.0,0.0,,False,0.0,576.0,109.07025184624123,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,3,49
48113010905,Census Tract 109.05,Susceptible,1,3212,3212.0,38353.0,93.2,100.0,0,0,0.5,1.0,280.0,280.0,1996.0,229,229,0,0,0.0,0.0,,False,0.0,280.0,87.17310087173101,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,8,50
48113016635,Census Tract 166.35,Susceptible,1,3810,3810.0,22881.0,91.6,100.0,0,0,0.5,5.0,1182.0,1180.0,2004.0,456,456,0,0,0.0,0.0,,False,0.0,1180.0,309.71128608923885,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,8,51
48113016203,Census Tract 162.03,Susceptible,1,2314,2314.0,46823.0,22.6,97.4,0,0,0.5,1.0,418.0,418.0,1995.0,149,149,0,0,0.0,0.0,,False,0.0,418.0,180.63958513396716,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas,52
48113010904,Census Tract 109.04,Susceptible,1,4006,4006.0,48216.0,77.8,97.3,0,0,1.0,3.0,788.0,698.0,2022.0,241,241,0,0,0.0,0.0,,True,0.2349999640821346,698.0,174.23864203694458,1.0,0.0,0.2349999640821346,0.546999992816427,True,True,HIGH_PRESSURE_HIGH_READINESS,3,53
48113010704,Census Tract 107.04,Susceptible,1,6716,6716.0,42530.0,28.9,63.6,0,0,0.5,2.0,514.0,514.0,2021.0,350,104,0,246,0.0,1.0,Builders of Hope CDC,False,0.0,514.0,76.5336509827278,0.946102924799284,0.2916666666666667,0.0,0.560551462399642,True,True,HIGH_PRESSURE_HIGH_READINESS,3,54
