GEOID,pop_2023,south_of_i30,bates_typology_v21,tif_present,oz_designated,in_pid,vendor_share_5mi,real_gent_signal,demo_change_real,vuln_index,cip_total_usd,cip_per_cap,pid_annual_budget,pid_per_cap,l3_tool_any,l4_pressure_proxy,l5_vendor_share,L1_cip_norm,L2_pid_norm,L3_tool_norm,L4_pressure_norm,L5_vendor_norm,capital_stack_score
48113018002,3524.0,0,Stable,0,0,0,0.0094746593844327,1,0,0.0412644281690248,0.0,0.0,0.0,0.0,0,1,0.0094746593844327,0.0,0.0,0.0,1.0,0.04744710113384341,0.20948942022676867
48113009105,3480.0,1,Stable,0,0,0,0.0106183393935664,0,0,0.4400026215455733,0.0,0.0,0.0,0.0,0,0,0.0106183393935664,0.0,0.0,0.0,0.0,0.05317441003819096,0.010634882007638192
48113012210,4166.0,0,Susceptible,0,0,0,0.0163899353169198,0,1,0.4448131310328227,2330478.0,559.4042246759482,0.0,0.0,0,1,0.0163899353169198,0.03798461011457325,0.0,0.0,1.0,0.08207734832523565,0.2240123916879618
48113009610,5055.0,0,Susceptible,0,0,0,0.0576737901169373,0,1,0.3949238573953652,0.0,0.0,0.0,0.0,0,1,0.0576737901169373,0.0,0.0,0.0,1.0,0.2888182088051104,0.25776364176102207
48113014121,5365.0,0,Historic Loss,0,0,0,0.0416789343363933,0,0,-0.3906629427979649,0.0,0.0,0.0,0.0,0,0,0.0416789343363933,0.0,0.0,0.0,0.0,0.20871933569019566,0.04174386713803913
48113004201,4000.0,1,Historic Loss,1,0,0,0.1982927511664738,0,1,-0.2387939806633157,13210226.0,3302.5565,0.0,0.0,1,1,0.1982927511664738,0.2242498635159901,0.0,1.0,1.0,0.9930083855217198,0.643451649807542
48113017102,6659.0,1,Stable,0,0,0,0.1154201976076844,1,1,0.3499512351529554,63000.0,9.460880012013815,0.0,0.0,0,1,0.1154201976076844,0.0006424117351013546,0.0,0.0,1.0,0.5780000701426684,0.31572849637555395
48113011105,5349.0,1,Susceptible,0,0,0,0.0003567764751585,0,1,0.5825845125843423,891250.0,166.61992895868386,0.0,0.0,0,1,0.0003567764751585,0.01131380987063471,0.0,0.0,1.0,0.0017866615370717193,0.20262009428154126
48113005901,5361.0,1,Susceptible,0,0,0,0.0016822527375274,0,1,0.5171286909404066,0.0,0.0,0.0,0.0,0,1,0.0016822527375274,0.0,0.0,0.0,1.0,0.008424367835459301,0.20168487356709183
48113006001,3824.0,1,Early: Type 1,0,0,0,0.0028614082172262,1,1,0.5931506325310651,0.0,0.0,0.0,0.0,0,1,0.0028614082172262,0.0,0.0,0.0,1.0,0.01432933043387407,0.20286586608677482
48113006002,6997.0,1,Early: Type 1,0,0,0,0.0016822527375274,1,0,0.4366927074047123,7579800.0,1083.2928397884807,0.0,0.0,0,1,0.0016822527375274,0.07355764283530536,0.0,0.0,1.0,0.008424367835459301,0.21639640213415295
48113006200,5514.0,1,Early: Type 2,0,0,0,0.1562565439769807,0,1,0.5382781438409189,1727000.0,313.202756619514,0.0,0.0,0,1,0.1562565439769807,0.021267062478645824,0.0,0.0,1.0,0.782499902538139,0.36075339300335696
48113006301,6308.0,1,Stable,0,0,0,0.0218733416576243,1,0,0.4477112909070407,6746612.0,1069.5326569435638,0.0,0.0,0,1,0.0218733416576243,0.07262330026616909,0.0,0.0,1.0,0.10953709380514584,0.236432078814263
48113006302,3947.0,1,Stable,0,0,0,0.0867561787578751,1,0,-0.1141308428655762,1125000.0,285.0266024828984,0.0,0.0,0,1,0.0867561787578751,0.019353848058380328,0.0,0.0,1.0,0.4344566934273135,0.2907621082971388
48113006501,5972.0,1,Stable,0,0,0,0.0218679899107847,1,0,0.3177905991556936,0.0,0.0,0.0,0.0,0,1,0.0218679899107847,0.0,0.0,0.0,1.0,0.10951029338275192,0.22190205867655038
48113006502,3729.0,1,Stable,0,0,0,0.0219825666291405,1,0,0.3698093607128849,4041478.0,1083.7967283454009,0.0,0.0,0,1,0.0219825666291405,0.07359185782606073,0.0,0.0,1.0,0.11008406948623314,0.23673518546245878
48113011300,5173.0,1,Susceptible,0,0,0,0.0002307744685105,0,1,0.5576564993692232,145322273.0,28092.45563502803,0.0,0.0,0,1,0.0002307744685105,1.0,0.0,0.0,1.0,0.0011556699932155148,0.4002311339986431
48113002100,3035.0,0,Historic Loss,1,0,1,0.1994770133487061,0,0,0.1732750154430566,107658717.0,35472.394398682045,9988175.675675675,3290.9969277349837,1,0,0.1994770133487061,1.0,1.0,1.0,0.0,0.9989389214121903,0.7997877842824381
48113001202,3490.0,0,Stable,0,0,0,0.1393100021599227,0,1,-0.1664506379665288,650000.0,186.2464183381089,0.0,0.0,0,1,0.1393100021599227,0.012646485803547318,0.0,0.0,1.0,0.69763518594643,0.3420563343499955
48113001203,1313.0,0,Historic Loss,0,0,0,0.1395218877748363,0,0,-0.7174873931780367,0.0,0.0,0.0,0.0,0,0,0.1395218877748363,0.0,0.0,0.0,0.0,0.6986962645342397,0.13973925290684794
48113016903,7673.0,1,Stable,0,0,0,0.1133017510519609,0,1,0.5207829752881404,0.0,0.0,0.0,0.0,0,1,0.1133017510519609,0.0,0.0,0.0,1.0,0.5673913354222198,0.31347826708444393
48113016617,5210.0,1,Historic Loss,0,0,0,0.0006199455395022,0,0,0.056184870113005,0.0,0.0,0.0,0.0,0,0,0.0006199455395022,0.0,0.0,0.0,0.0,0.003104556851781454,0.0006209113703562908
48113008703,3426.0,1,Early: Type 1,0,0,0,0.031042481675058,1,1,0.4557449697547098,80000.0,23.35084646818447,0.0,0.0,0,1,0.031042481675058,0.0015855668581213395,0.0,0.0,1.0,0.15545421821727542,0.23140795701507932
48113014002,2382.0,0,Historic Loss,0,0,0,0.0476864409680535,1,1,-0.409968949781778,0.0,0.0,0.0,0.0,0,1,0.0476864409680535,0.0,0.0,0.0,1.0,0.23880366517891038,0.2477607330357821
48113014124,4213.0,0,Historic Loss,0,0,0,0.0701238758569302,0,0,-0.7874676834837396,0.0,0.0,0.0,0.0,0,0,0.0701238758569302,0.0,0.0,0.0,0.0,0.35116561922506123,0.07023312384501225
48113014209,3433.0,0,Historic Loss,0,0,0,0.1194844442215445,0,0,-0.7218477451232398,0.0,0.0,0.0,0.0,0,0,0.1194844442215445,0.0,0.0,0.0,0.0,0.5983529622410947,0.11967059244821894
48113018508,1435.0,0,Susceptible,0,0,0,0.0512921566673955,0,0,0.2931611165949676,2724650.0,1898.7108013937282,0.0,0.0,0,0,0.0512921566673955,0.12892607229244366,0.0,0.0,0.0,0.2568603309127372,0.07715728064103618
48113015304,4353.0,0,Stable,0,0,0,0.0283779731482009,1,0,0.5637295972852726,0.0,0.0,0.0,0.0,0,1,0.0283779731482009,0.0,0.0,0.0,1.0,0.1421109200134903,0.22842218400269804
48113016406,4346.0,1,Susceptible,0,0,0,0.0038089811009542,0,0,0.342182409668555,0.0,0.0,0.0,0.0,0,0,0.0038089811009542,0.0,0.0,0.0,0.0,0.019074576106747624,0.003814915221349525
48113018205,4021.0,0,Stable,0,0,0,0.0051814538240063,0,1,0.3469184945475844,0.0,0.0,0.0,0.0,0,1,0.0051814538240063,0.0,0.0,0.0,1.0,0.02594763079418993,0.20518952615883798
48113011500,4641.0,1,Dynamic,0,1,0,0.0583199301440602,1,1,0.6448691843084969,2762000.0,595.1303598362422,0.0,0.0,1,1,0.0583199301440602,0.04041048259658824,0.0,1.0,1.0,0.29205394214069563,0.4664928849474568
48113005902,4992.0,1,Susceptible,0,0,0,0.0016822527375274,0,1,0.5308546052290225,3700000.0,741.1858974358975,0.0,0.0,0,1,0.0016822527375274,0.05032793120722587,0.0,0.0,1.0,0.008424367835459301,0.211750459808537
48113007601,1976.0,0,Historic Loss,0,0,0,0.1550152813246478,0,0,-1.3970658047769773,0.0,0.0,0.0,0.0,0,0,0.1550152813246478,0.0,0.0,0.0,0.0,0.7762839202838675,0.1552567840567735
48113007604,2882.0,0,Stable,0,0,0,0.1213756596852838,0,1,-1.8492042662661656,586500.0,203.50451075641917,0.0,0.0,0,1,0.1213756596852838,0.013818343081190386,0.0,0.0,1.0,0.6078237714525965,0.3243284229067574
48113007605,1614.0,0,Historic Loss,0,0,0,0.1204343329265785,1,0,-1.4388284939193294,9912500.0,6141.573729863692,0.0,0.0,0,1,0.1204343329265785,0.4170245295410762,0.0,0.0,1.0,0.6031098050599188,0.404026866920199
48113007801,2517.0,0,Historic Loss,0,0,0,0.0881835902213543,0,1,-1.0112646431985035,281750.0,111.93881605085419,0.0,0.0,0,1,0.0881835902213543,0.007600858371853918,0.0,0.0,1.0,0.4416048697700518,0.28984114562838115
48113007805,2484.0,0,Stable,0,0,0,0.1066032798725659,0,1,-0.2895714150562697,11788646.0,4745.831723027375,0.0,0.0,0,1,0.1066032798725659,0.32225099439138893,0.0,0.0,1.0,0.5338468008278588,0.37121955904384957
48113004700,2560.0,1,Historic Loss,1,0,0,0.1716450049778937,1,0,0.0026126475960945,18358020.0,7171.1015625,0.0,0.0,1,1,0.1716450049778937,0.4869314261996512,0.0,1.0,1.0,0.8595620781562066,0.6692987008711715
48113004800,2486.0,1,Late,1,0,0,0.1709804931840483,1,0,0.4386218308597086,17016479.0,6844.923169750603,0.0,0.0,1,1,0.1709804931840483,0.46478329336500707,0.0,1.0,1.0,0.8562343428775094,0.6642035272485034
48113005000,3018.0,1,Early: Type 2,0,0,0,0.1562511374808128,1,1,0.6405306880088013,780000.0,258.44930417495027,0.0,0.0,0,1,0.1562511374808128,0.0175491989878251,0.0,0.0,1.0,0.7824728279426258,0.3600044053860902
48113005100,2620.0,1,Stable,0,0,0,0.1562511374808128,1,0,0.4252060007017936,153879.0,58.7324427480916,0.0,0.0,0,1,0.1562511374808128,0.0039880444952933415,0.0,0.0,1.0,0.7824728279426258,0.3572921744875838
48113005200,4159.0,1,Stable,0,0,0,0.1509370691973802,1,0,-0.0236512629089426,0.0,0.0,0.0,0.0,0,1,0.1509370691973802,0.0,0.0,0.0,1.0,0.7558610918320435,0.3511722183664087
48113002500,4869.0,0,Susceptible,0,0,0,0.1395019573837054,0,1,0.6016403412778295,257437.0,52.872663791332926,0.0,0.0,0,1,0.1395019573837054,0.0035901543664531525,0.0,0.0,1.0,0.6985964573279587,0.34043732233888235
48113019019,7655.0,0,Susceptible,0,0,0,0.0512921566673955,0,0,0.4970798869242157,368879.0,48.187981711299805,0.0,0.0,0,0,0.0512921566673955,0.0032720555490481414,0.0,0.0,0.0,0.2568603309127372,0.052026477292357064
48113005400,4652.0,1,Early: Type 2,0,0,0,0.1550773884972819,1,1,0.530669784037687,65350000.0,14047.721410146174,0.0,0.0,0,1,0.1550773884972819,0.953866984239613,0.0,0.0,1.0,0.7765949399397243,0.5460923848358675
