GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district
48113009105,Census Tract 91.05,Stable,1,3480,3480.0,61804.0,7.6,29.9,0,0,0.5,0.0,0.0,0.0,,57,4,0,0,0.0,0.0,,False,0.0,57.0,16.379310344827587,0.20247973570389083,0.0,0.0,0.10123986785194541,False,True,LOW_PRESSURE_HIGH_READINESS,5
48113012210,Census Tract 122.10,Susceptible,0,4166,4166.0,46376.0,40.4,80.5,0,0,0.5,0.0,0.0,0.0,,257,86,0,171,0.0,0.0,,False,0.0,257.0,61.68987037926068,0.7626052859999991,0.0,0.0,0.38130264299999955,True,True,HIGH_PRESSURE_HIGH_READINESS,7
48113009610,Census Tract 96.10,Susceptible,0,5055,5055.0,52348.0,0.0,100.0,0,0,0.5,1.0,224.0,224.0,1995.0,5,5,0,0,0.0,0.0,,False,0.0,224.0,44.31256181998022,0.5477883755041802,0.0,0.0,0.2738941877520901,True,True,HIGH_PRESSURE_HIGH_READINESS,6
48113014121,Census Tract 141.21,Historic Loss,0,5365,5365.0,95758.0,13.2,80.8,0,0,0.5,0.0,0.0,0.0,,15,15,0,0,0.0,0.0,,False,0.0,15.0,2.7958993476234855,0.034562686037648505,0.0,0.0,0.017281343018824252,False,False,LOW_PRESSURE_LOW_READINESS,6
48113004201,Census Tract 42.01,Historic Loss,1,4000,4000.0,73234.0,7.6,47.3,1,0,0.5,0.0,0.0,0.0,,1,1,0,0,0.0,0.0,,False,0.0,1.0,0.25,0.0030904801765330703,0.0,0.0,0.0015452400882665352,False,False,LOW_PRESSURE_LOW_READINESS,1
48113017102,Census Tract 171.02,Stable,1,6659,6659.0,60017.0,20.3,34.6,0,0,0.5,0.0,0.0,0.0,,11,11,0,0,0.0,0.0,,False,0.0,11.0,1.651899684637333,0.020420652915971633,0.0,0.0,0.010210326457985816,False,False,LOW_PRESSURE_LOW_READINESS,8
48113011105,Census Tract 111.05,Susceptible,1,5349,5349.0,43807.0,48.8,63.1,0,0,0.5,0.0,0.0,0.0,,44,44,0,0,0.0,0.0,,False,0.0,44.0,8.22583660497289,0.10168713985227525,0.0,0.0,0.05084356992613762,True,True,HIGH_PRESSURE_HIGH_READINESS,8
48113005901,Census Tract 59.01,Susceptible,1,5361,5361.0,50917.0,58.1,32.2,0,0,0.5,0.0,0.0,0.0,,15,15,0,0,0.0,0.0,,False,0.0,15.0,2.7979854504756574,0.03458847427569189,0.0,0.0,0.017294237137845943,True,False,HIGH_PRESSURE_LOW_READINESS,4
48113006001,Census Tract 60.01,Early: Type 1,1,3824,3824.0,56585.0,3.7,24.3,0,0,1.0,0.0,0.0,0.0,,16,16,0,0,0.0,0.0,,False,0.0,16.0,4.184100418410042,0.05172351759887984,0.0,0.0,0.02586175879943992,True,True,HIGH_PRESSURE_HIGH_READINESS,4
48113006002,Census Tract 60.02,Early: Type 1,1,6997,6997.0,43573.0,65.2,91.8,0,0,1.0,1.0,176.0,140.0,2004.0,198,198,0,0,0.0,0.0,,False,0.0,198.0,28.29784193225668,0.34981567812122216,0.0,0.0,0.17490783906061108,True,True,HIGH_PRESSURE_HIGH_READINESS,4
48113006200,Census Tract 62,Early: Type 2,1,5514,5514.0,44949.0,42.7,54.9,0,0,1.0,3.0,473.0,472.0,2016.0,170,125,0,45,0.0,0.0,,False,0.0,472.0,85.60029017047516,1.0,0.0,0.0,0.5,True,True,HIGH_PRESSURE_HIGH_READINESS,1
48113006301,Census Tract 63.01,Stable,1,6308,6308.0,69562.0,8.7,21.6,0,0,1.0,0.0,0.0,0.0,,2,1,1,0,0.0,0.0,,False,0.0,2.0,0.31705770450221943,0.003919442202324756,0.0,0.0,0.001959721101162378,False,False,LOW_PRESSURE_LOW_READINESS,4
48113006302,Census Tract 63.02,Stable,1,3947,3947.0,83827.0,2.3,22.8,0,0,0.67,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,1
48113006501,Census Tract 65.01,Stable,1,5972,5972.0,76477.0,1.3,22.1,0,0,0.5,0.0,0.0,0.0,,2,2,0,0,0.0,0.0,,False,0.0,2.0,0.3348961821835231,0.0041399600489391425,0.0,0.0,0.0020699800244695712,False,False,LOW_PRESSURE_LOW_READINESS,1
48113006502,Census Tract 65.02,Stable,1,3729,3729.0,74450.0,0.2,12.9,0,0,0.67,0.0,0.0,0.0,,2,2,0,0,0.0,0.0,,False,0.0,2.0,0.5363368195226602,0.006630153234718305,0.0,0.0,0.0033150766173591526,False,False,LOW_PRESSURE_LOW_READINESS,1
48113011300,Census Tract 113,Susceptible,1,5173,5173.0,49643.0,77.6,25.2,0,0,0.5,1.0,112.0,112.0,2012.0,92,92,0,0,0.0,0.0,,False,0.0,112.0,21.65087956698241,0.2676464564250562,0.0,0.0,0.1338232282125281,True,True,HIGH_PRESSURE_HIGH_READINESS,8
48113002100,Census Tract 21,Historic Loss,0,3035,3035.0,94451.0,23.0,96.6,1,0,1.0,0.0,0.0,0.0,,164,164,0,0,0.0,0.0,,False,0.0,164.0,54.03624382207578,0.6679917613857311,0.0,0.0,0.33399588069286557,False,True,LOW_PRESSURE_HIGH_READINESS,14
48113001202,Census Tract 12.02,Stable,0,3490,3490.0,73462.0,14.5,74.7,0,0,0.33,0.0,0.0,0.0,,13,13,0,0,0.0,0.0,,False,0.0,13.0,3.7249283667621778,0.046047269105936865,0.0,0.0,0.023023634552968433,False,False,LOW_PRESSURE_LOW_READINESS,2
48113001203,Census Tract 12.03,Historic Loss,0,1313,1313.0,144375.0,0.0,11.0,0,0,0.33,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,14
48113016903,Census Tract 169.03,Stable,1,7673,7673.0,58558.0,26.6,36.5,0,0,0.5,0.0,0.0,0.0,,16,16,0,0,0.0,0.0,,False,0.0,16.0,2.0852339371823274,0.025777496585183954,0.0,0.0,0.012888748292591977,False,False,LOW_PRESSURE_LOW_READINESS,Outside City of Dallas
48113016617,Census Tract 166.17,Historic Loss,1,5210,5210.0,122218.0,69.1,14.4,0,0,0.5,0.0,0.0,0.0,,12,12,0,0,0.0,0.0,,False,0.0,12.0,2.3032629558541267,0.028472754025640572,0.0,0.0,0.014236377012820286,False,False,LOW_PRESSURE_LOW_READINESS,Outside City of Dallas
48113008703,Census Tract 87.03,Early: Type 1,1,3426,3426.0,36506.0,28.6,31.5,0,0,1.0,0.0,0.0,0.0,,13,13,0,0,0.0,0.0,,False,0.0,13.0,3.794512551079977,0.04690746327487439,0.0,0.0,0.023453731637437195,True,True,HIGH_PRESSURE_HIGH_READINESS,4
48113014002,Census Tract 140.02,Historic Loss,0,2382,2382.0,103672.0,12.3,65.0,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,6
48113014124,Census Tract 141.24,Historic Loss,0,4213,4213.0,203269.0,6.2,10.5,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,Outside City of Dallas
48113014209,Census Tract 142.09,Historic Loss,0,3433,3433.0,123475.0,13.0,97.3,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,6
48113018508,Census Tract 185.08,Susceptible,0,1435,1435.0,34797.0,28.0,72.2,0,0,0.5,0.0,0.0,0.0,,19,19,0,0,0.0,0.0,,False,0.0,19.0,13.2404181184669,0.16367699889652498,0.0,0.0,0.08183849944826249,True,True,HIGH_PRESSURE_HIGH_READINESS,10
48113015304,Census Tract 153.04,Stable,0,4353,4353.0,62553.0,0.6,8.6,0,0,0.5,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,LOW_PRESSURE_LOW_READINESS,Outside City of Dallas
48113016406,Census Tract 164.06,Susceptible,1,4346,4346.0,57338.0,17.8,47.2,0,0,0.5,0.0,0.0,0.0,,58,58,0,0,0.0,0.0,,False,0.0,58.0,13.34560515416475,0.16497731269113491,0.0,0.0,0.08248865634556746,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas
48113018205,Census Tract 182.05,Stable,0,4021,4021.0,58459.0,5.1,60.4,0,0,0.5,0.0,0.0,0.0,,7,7,0,0,0.0,0.0,,False,0.0,7.0,1.740860482467048,0.021520379244696835,0.0,0.0,0.010760189622348417,False,False,LOW_PRESSURE_LOW_READINESS,Outside City of Dallas
48113011500,Census Tract 115,Dynamic,1,4641,4641.0,28040.0,41.9,72.6,0,1,1.0,2.0,323.0,323.0,2012.0,350,222,128,0,0.0,0.0,,False,0.0,350.0,75.41478129713424,0.9322715464654813,0.0,0.0,0.46613577323274064,True,True,HIGH_PRESSURE_HIGH_READINESS,7
