code_str,202/PRAC,811/PRAC,Housing Choice Vouchers,Mod Rehab,Project Based Section 8,Public Housing,Summary of All HUD Programs
48113014160,0,0,1,0,0,0,1
48113014161,0,0,4,0,0,0,4
48113014203,0,0,0,0,0,0,0
48113014204,0,0,12,0,0,0,12
48113014205,0,0,0,0,0,0,0
48113014207,0,0,0,0,0,0,0
48113014208,0,0,66,0,0,0,66
48113014209,0,0,0,0,0,0,0
48113014306,0,0,5,0,0,0,5
48113014308,0,0,5,0,1,0,6
48113014309,0,0,5,0,0,0,5
48113014310,0,0,275,0,0,0,275
48113014313,0,0,51,0,0,0,51
48113014314,0,0,0,0,0,0,0
48113014315,0,0,2,0,0,0,2
48113014316,0,0,1,0,0,0,1
48113014317,0,0,0,0,0,0,0
48113014318,0,0,0,0,0,0,0
48113014319,0,0,0,0,0,0,0
48113014320,0,0,0,0,0,0,0
48113014405,0,0,22,0,49,0,71
48113014406,0,0,0,0,0,0,0
48113014407,0,0,9,0,0,0,9
48113014408,0,0,7,0,0,0,7
48113014409,0,0,0,0,0,0,0
48113014410,0,0,4,0,0,0,4
48113014501,0,0,10,0,0,0,10
48113014502,0,0,8,0,0,0,8
48113014601,0,0,24,0,0,0,24
48113014602,0,0,10,0,0,0,10
48113014603,0,0,2,0,0,0,2
48113014701,0,0,2,0,0,0,2
48113014704,0,12,1,0,0,0,13
48113014903,0,0,11,0,0,0,11
48113015001,0,0,6,0,0,0,6
48113015002,0,0,2,0,1,0,3
48113015101,0,0,2,0,0,0,2
48113015102,0,0,13,0,0,0,13
48113015202,0,0,6,0,0,0,6
48113015205,0,0,14,0,0,0,14
48113015206,0,0,1,0,0,0,1
48113015207,0,0,4,0,0,0,4
48113015208,0,0,2,0,0,0,2
48113015303,0,0,0,0,0,0,0
48113015304,0,0,0,0,0,0,0
48113015305,0,0,27,0,0,0,27
48113015306,0,0,3,0,103,0,106
48113015403,0,0,12,0,0,0,12
48113015404,0,0,57,0,0,0,57
48113015405,0,0,0,0,0,0,0
48113015406,0,0,0,0,0,0,0
48113015500,0,0,17,0,39,0,56
48113015600,0,0,4,0,0,0,4
48113015700,0,0,2,0,0,0,2
48113015900,0,0,95,0,112,0,207
48113016001,0,0,7,0,0,0,7
48113016002,0,0,11,0,0,0,11
48113016100,0,0,54,0,111,0,164
48113016201,0,0,28,0,0,0,28
48113016203,0,0,149,0,0,0,149
48113016204,0,0,8,0,0,0,8
48113016301,0,0,15,0,0,0,15
48113016302,0,0,4,0,0,0,4
48113016406,0,0,58,0,0,0,58
48113016407,0,0,36,0,0,0,36
48113016409,0,0,3,0,0,0,3
48113016410,0,0,13,0,0,0,13
48113016412,0,0,5,0,0,0,5
48113016414,0,0,24,0,0,0,24
48113016415,0,0,20,0,0,0,20
48113016416,0,0,24,0,0,0,24
48113016417,0,7,45,0,0,0,52
48113016418,0,0,17,0,0,0,17
48113016419,0,0,31,0,0,0,31
48113016420,0,0,7,0,0,0,7
48113016421,0,0,43,0,0,0,43
48113016511,0,0,86,0,0,9,95
48113016513,0,0,12,0,0,0,12
48113016516,0,0,103,0,0,0,103
48113016517,0,0,60,0,0,0,60
48113016518,0,0,136,0,23,0,159
48113016519,0,0,4,0,0,0,4
48113016521,0,0,64,0,0,3,67
48113016522,0,0,35,0,0,0,35
48113016524,0,0,7,0,0,0,7
48113016525,0,0,2,0,0,0,2
48113016526,0,0,71,0,0,2,73
48113016527,0,0,34,0,0,3,37
48113016528,0,0,55,0,0,0,55
48113016529,0,0,35,0,0,0,35
48113016530,0,0,61,0,0,0,61
48113016531,0,0,33,0,0,0,33
48113016532,0,0,9,0,0,0,9
48113016533,0,0,72,0,0,0,72
48113016534,0,0,15,0,0,121,136
48113016535,0,0,10,0,0,0,10
48113016536,0,0,13,0,0,0,13
48113016607,0,0,274,0,0,0,274
48113016610,0,0,129,0,104,0,233
48113016615,0,0,90,0,0,0,90
48113016616,0,0,101,0,0,0,101
48113016617,0,0,12,0,0,0,12
48113016618,0,0,27,0,0,0,27
48113016619,0,0,126,0,0,0,126
48113016620,0,0,37,0,0,0,37
48113016621,0,0,51,0,0,0,51
48113016622,0,0,109,0,0,0,109
48113016623,0,0,56,0,0,0,56
48113016624,0,0,87,0,0,0,87
48113016626,0,0,114,0,0,0,114
48113016627,0,0,8,0,0,0,8
48113016628,0,0,43,0,0,0,43
48113016629,0,0,49,0,0,0,49
48113016630,0,0,34,0,0,0,34
48113016631,0,0,9,0,0,0,9
48113016632,0,0,21,0,0,0,21
48113016633,0,0,13,0,0,0,13
48113016634,0,0,95,0,0,0,95
48113016635,0,0,456,0,0,0,456
48113016636,0,0,27,0,0,0,27
48113016637,0,0,40,0,0,0,40
48113016638,0,0,6,0,0,0,6
48113016704,0,0,91,0,0,0,91
48113016706,0,0,32,0,0,0,32
48113016707,0,0,83,0,0,0,83
48113016708,0,0,43,0,0,0,43
48113016709,0,0,174,0,0,0,174
48113016710,0,0,34,0,0,0,34
48113016711,82,0,100,0,0,0,182
48113016802,0,0,6,0,0,0,6
48113016803,0,0,56,0,0,0,56
48113016805,0,0,18,0,0,0,18
48113016806,0,0,39,0,0,0,39
48113016902,0,0,198,0,0,0,198
48113016903,0,0,16,0,0,0,16
48113017005,0,0,25,0,0,0,25
48113017006,0,0,1,0,30,0,31
48113017007,0,0,10,0,0,0,10
48113017008,0,0,32,0,0,0,32
48113017009,0,0,1,0,0,0,1
48113017010,0,0,14,0,0,0,14
48113017101,0,0,26,0,0,2,28
48113017102,0,0,11,0,0,0,11
48113017201,0,0,105,0,24,0,129
48113017203,0,0,14,0,0,0,14
48113017204,0,0,169,0,0,0,169
48113017307,0,0,164,0,0,0,164
48113017308,0,0,134,0,0,0,134
48113017309,0,0,205,0,0,0,205
48113017310,0,0,137,0,0,0,137
48113017311,0,0,27,0,0,0,27
48113017312,0,0,10,0,0,0,10
48113017313,0,0,145,0,0,0,145
48113017314,0,0,294,0,0,0,294
48113017315,0,0,112,0,0,0,112
48113017400,0,0,23,0,0,0,23
48113017500,0,0,21,0,0,0,21
48113017602,0,0,18,0,0,0,18
48113017604,0,0,18,0,0,0,18
48113017605,0,0,12,0,0,7,19
48113017606,0,0,38,0,0,0,38
48113017703,0,0,177,0,0,0,177
48113017704,0,0,76,0,0,0,76
48113017705,0,0,51,0,88,0,139
48113017706,0,0,53,0,0,0,53
48113017805,0,0,141,0,0,0,141
48113017806,0,0,25,0,0,0,25
48113017808,0,0,33,0,0,0,33
48113017811,0,0,11,0,0,0,11
48113017812,0,0,9,0,0,0,9
48113017814,0,0,10,0,0,0,10
48113017815,0,0,62,0,0,0,62
48113017816,0,0,38,0,0,0,38
48113017817,0,0,1,0,0,0,1
48113017818,0,0,46,0,0,0,46
48113017819,0,0,18,0,0,0,18
48113017820,0,0,16,0,0,0,16
