gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,code_str,total_units_num
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019025,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019025,48113019025,19,76,16,100,4,-1,3.6,58,910,1657,26002,7173,7,13,13,13,53,56,-1,38,26,88,69,13,69,81,75,21,50,12,-1,56,31,13,-1,94,63,-1,19,6,-1,13,-1,13,0,-1,199,100,423,-1,-1,100,19,3,59,99,,19100,29000,,,TX,,,2023-12-31,48113019025,19
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019025,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019025,48113019025,19,76,16,100,4,-1,3.6,58,910,1657,26002,7173,7,13,13,13,53,56,-1,38,26,88,69,13,69,81,75,21,50,12,-1,56,31,13,-1,94,63,-1,19,6,-1,13,-1,13,0,-1,199,100,423,-1,-1,100,19,3,59,99,,19100,29000,,,TX,,,2023-12-31,48113019025,19
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019026,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019026,48113019026,9,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,29000,,,TX,,,2023-12-31,48113019026,9
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019026,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019026,48113019026,9,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,29000,,,TX,,,2023-12-31,48113019026,9
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019027,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019027,48113019027,29,81,25,100,6,16,3.0,74,634,1397,21389,7226,-1,8,44,16,32,48,-1,52,24,96,76,8,60,88,60,22,57,11,-1,48,24,28,-1,84,60,-1,16,16,-1,8,-1,8,0,39,183,100,285,12,28,60,16,14,74,40,,19100,29000,,,TX,,,2023-12-31,48113019027,29
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019027,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019027,48113019027,29,81,25,100,6,16,3.0,74,634,1397,21389,7226,-1,8,44,16,32,48,-1,52,24,96,76,8,60,88,60,22,57,11,-1,48,24,28,-1,84,60,-1,16,16,-1,8,-1,8,0,39,183,100,285,12,28,60,16,14,74,40,,19100,29000,,,TX,,,2023-12-31,48113019027,29
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019028,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019028,48113019028,27,77,22,100,4,5,3.7,82,763,1570,28659,7689,5,9,23,5,59,59,-1,41,29,82,55,-1,68,95,68,16,67,10,-1,73,14,14,-1,91,77,-1,14,9,-1,-1,-1,0,0,-1,154,91,439,-1,5,95,27,11,73,88,,19100,29000,,,TX,,,2023-12-31,48113019028,27
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019028,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019028,48113019028,27,77,22,100,4,5,3.7,82,763,1570,28659,7689,5,9,23,5,59,59,-1,41,29,82,55,-1,68,95,68,16,67,10,-1,73,14,14,-1,91,77,-1,14,9,-1,-1,-1,0,0,-1,154,91,439,-1,5,95,27,11,73,88,,19100,29000,,,TX,,,2023-12-31,48113019028,27
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019029,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019029,48113019029,54,76,44,100,4,5,3.2,139,833,1579,29779,9427,7,2,19,12,60,64,2,32,32,77,55,9,45,82,43,16,57,12,-1,59,25,16,2,98,73,-1,23,2,-1,2,-1,2,0,-1,179,95,359,5,20,75,30,9,73,79,,19100,29000,,,TX,,,2023-12-31,48113019029,54
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019029,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019029,48113019029,54,76,44,100,4,5,3.2,139,833,1579,29779,9427,7,2,19,12,60,64,2,32,32,77,55,9,45,82,43,16,57,12,-1,59,25,16,2,98,73,-1,23,2,-1,2,-1,2,0,-1,179,95,359,5,20,75,30,9,73,79,,19100,29000,,,TX,,,2023-12-31,48113019029,54
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019031,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019031,48113019031,16,73,13,100,4,15,3.8,49,472,1552,16257,4313,8,17,33,8,33,31,-1,62,16,100,85,8,69,92,77,17,100,16,-1,77,15,8,-1,92,85,-1,-1,8,-1,8,-1,8,0,57,139,100,444,-1,8,92,23,4,46,95,,19100,29000,,,TX,,,2023-12-31,48113019031,16
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019031,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019031,48113019031,16,73,13,100,4,15,3.8,49,472,1552,16257,4313,8,17,33,8,33,31,-1,62,16,100,85,8,69,92,77,17,100,16,-1,77,15,8,-1,92,85,-1,-1,8,-1,8,-1,8,0,57,139,100,444,-1,8,92,23,4,46,95,,19100,29000,,,TX,,,2023-12-31,48113019031,16
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019032,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019032,48113019032,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,29000,,,TX,,,2023-12-31,48113019032,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019032,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019032,48113019032,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,19100,29000,,,TX,,,2023-12-31,48113019032,2
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019033,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019033,48113019033,16,76,13,100,6,-1,2.3,30,396,1635,15235,6602,-1,8,46,23,23,15,-1,85,19,100,92,-1,23,54,15,50,86,37,-1,15,31,54,15,92,31,-1,54,8,-1,-1,8,8,0,-1,208,100,257,31,31,38,31,15,89,75,,19100,29000,,,TX,,,2023-12-31,48113019033,16
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019033,7,Housing Choice Vouchers,3,,TX Texas Dallas County 019033,48113019033,16,76,13,100,6,-1,2.3,30,396,1635,15235,6602,-1,8,46,23,23,15,-1,85,19,100,92,-1,23,54,15,50,86,37,-1,15,31,54,15,92,31,-1,54,8,-1,-1,8,8,0,-1,208,100,257,31,31,38,31,15,89,75,,19100,29000,,,TX,,,2023-12-31,48113019033,16
Census Tract,TX Texas,TX Texas 113 Dallas County 48113019034,7,Summary of All HUD Programs,1,,TX Texas Dallas County 019034,48113019034,63,76,51,100,5,6,1.6,81,337,1591,13211,8318,15,13,44,8,21,24,-1,69,17,100,86,2,20,69,22,31,74,33,-1,29,33,37,2,86,69,-1,14,14,-1,4,-1,4,0,17,167,98,138,65,27,8,14,15,82,12,,19100,19000,,,TX,,,2023-12-31,48113019034,63
