hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,place2020,fips1990,fips2000,fips2010,fips2020,st2020,cnty2020,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,aff_period,aff_yrs,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat
TXA0000X133,EMLI LIBERTY CROSSING,5900 SOUTH INTERSTATE HWY 45,WILMER,TX,75172,TX5294,32.5814,-96.6542,,,79576.0,79576.0,48XXXXXXXXX,48XXXXXXXXX,48113016903,48113016903,48,113,2.0,2.0,,240.0,240.0,0.0,85.0,83.0,60.0,12.0,,,2.0,1.0,54.0,9999,2017,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,240.0,240.0,1.0,,,,,,,X
TXA0000X144,LAKEVIEW SENIOR LIVING,5314 CHIESA ROAD,ROWLETT,TX,75088,TX5350,32.908622,-96.531125,,,63572.0,63572.0,48XXXXXXXXX,48XXXXXXXXX,48113018134,48113018134,48,113,2.0,2.0,,272.0,272.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,9999,2017,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,272.0,272.0,1.0,,,,,,,X
TXA0000X176,SILVER GARDENS APARTMENTS,2620 RUIDOSA AVENUE,DALLAS,TX,75228,TX5344,32.845923,-96.669154,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113012701,48113012701,48,113,2.0,2.0,,202.0,202.0,20.0,179.0,3.0,0.0,0.0,,,2.0,,,9999,2017,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,202.0,202.0,1.0,,,,,,,X
TXA0000X177,SPRINGS APARTMENTS,4702 AMBASSADOR WAY,BALCH SPRINGS,TX,75180,TX5311,32.706389,-96.6228,,,5372.0,5372.0,48XXXXXXXXX,48XXXXXXXXX,48113017202,48113017204,48,113,2.0,2.0,,221.0,221.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,9999,2017,2.0,2.0,,,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,221.0,221.0,1.0,,,,,,,X
TXA0000X202,2400 BRYAN,2400 BRYAN STREET,DALLAS,TX,75201,TX5428,32.786999,-96.793454,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113001701,48113001705,48,113,2.0,2.0,,212.0,111.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,56.0,9999,2019,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,212.0,111.0,,,,,,,,X
TXA0000X291,LAKEVIEW POINTE APARTMENTS,"N SIDE OF IH 30, E OF BASS PRO DR",GARLAND,TX,75043,TX5439,32.8641,-96.5892,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113018118,48113018147,48,113,2.0,2.0,,144.0,90.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,45.0,9999,2019,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,144.0,90.0,,,,,,,,X
TXA0000X464,ESTATES AT SHILOH,2649 CENTERVILLE ROAD,DALLAS,TX,75228,TX5567,32.84297,-96.668368,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113012701,48113012701,48,113,2.0,2.0,,264.0,239.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,8.0,9999,2019,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,264.0,239.0,,,,,,,,X
TXA0000X679,JULIETTE FOWLER RESIDENCES,NEC OF S FULTON STREET AND EAST SIDE STREET,DALLAS,TX,75214,TX5696,32.8386,-96.7331,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113008000,48113008000,48,113,2.0,2.0,,144.0,144.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,73.0,9999,2020,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,144.0,144.0,,,,,,,,X
TXA0000X690,LAKEVIEW PRESERVE,2800 SOUTH MACARTHUR BLVD.,IRVING,TX,75060,TX5652,32.788541,-96.9594,,,37000.0,37000.0,48XXXXXXXXX,48XXXXXXXXX,48113015100,48113015101,48,113,2.0,2.0,,84.0,84.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,67.0,9999,2020,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,84.0,84.0,,,,,,,,X
TXA0000X789,VILLAS AT WESTERN HEIGHTS,1501 AND 1515 FORT WORTH AVENUE,DALLAS,TX,75208,TX5686,32.7548,-96.8515,,,19000.0,19000.0,48XXXXXXXXX,48XXXXXXXXX,48113004202,48113004202,48,113,2.0,2.0,,130.0,104.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,53.0,9999,2020,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,0.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,130.0,104.0,,,,,,,,X
