NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 181.27; Dallas County; Texas,76655,221700,871,601,270,2978,652,580,1563,48,113,018127
Census Tract 181.28; Dallas County; Texas,71646,192800,2020,846,1174,5649,872,1655,2498,48,113,018128
Census Tract 181.29; Dallas County; Texas,51855,259600,1811,858,953,4104,1274,683,1918,48,113,018129
Census Tract 181.30; Dallas County; Texas,40109,222500,1894,407,1487,3764,838,2216,599,48,113,018130
Census Tract 181.32; Dallas County; Texas,86607,219200,1991,1725,266,6193,2290,786,2203,48,113,018132
Census Tract 181.33; Dallas County; Texas,89961,297100,1464,848,616,3626,1594,754,865,48,113,018133
Census Tract 181.34; Dallas County; Texas,93964,297600,1931,1841,90,5066,2579,1074,1047,48,113,018134
Census Tract 181.35; Dallas County; Texas,97336,315100,2021,1216,805,5281,3240,785,931,48,113,018135
Census Tract 181.37; Dallas County; Texas,72788,310600,1427,906,521,4386,1814,812,1068,48,113,018137
Census Tract 181.38; Dallas County; Texas,66426,283300,2055,423,1632,4740,1222,2092,795,48,113,018138
Census Tract 181.40; Dallas County; Texas,96985,320500,2006,1506,500,6087,1795,1677,1828,48,113,018140
Census Tract 181.41; Dallas County; Texas,47414,158300,1694,310,1384,3331,1024,1049,1097,48,113,018141
Census Tract 181.42; Dallas County; Texas,102563,266800,1239,1014,225,4263,1460,539,1370,48,113,018142
Census Tract 181.43; Dallas County; Texas,148958,456600,2306,1654,652,6397,3469,1164,898,48,113,018143
Census Tract 181.44; Dallas County; Texas,149022,403900,1248,903,345,4790,1597,1776,635,48,113,018144
Census Tract 181.45; Dallas County; Texas,133620,347700,1767,1495,272,5305,3208,690,866,48,113,018145
Census Tract 181.46; Dallas County; Texas,136199,396700,1135,1105,30,3023,2065,486,300,48,113,018146
Census Tract 181.47; Dallas County; Texas,114020,297500,1536,1451,85,5137,975,798,2591,48,113,018147
Census Tract 181.48; Dallas County; Texas,64514,292400,1403,654,749,4572,641,1080,1898,48,113,018148
