GEOID,income_2013,home_val_2013,total_units_2013,owner_occ_2013,renter_occ_2013,pop_2013,white_2013,black_2013,hispanic_2013
48113019900,34318.0,80200.0,1060.0,598.0,462.0,4246.0,468.0,93.0,3626.0
48113020000,131463.0,357700.0,1367.0,985.0,382.0,4200.0,2243.0,293.0,513.0
48113020100,28486.0,107100.0,717.0,368.0,349.0,2289.0,667.0,82.0,1458.0
48113020200,23931.0,61200.0,1399.0,827.0,572.0,4044.0,15.0,3431.0,565.0
48113020300,17120.0,88000.0,1096.0,223.0,873.0,2272.0,175.0,1979.0,118.0
48113020400,55856.0,183100.0,2572.0,255.0,2317.0,5175.0,2211.0,1468.0,947.0
48113020500,17130.0,106200.0,1601.0,445.0,1156.0,5421.0,331.0,3055.0,1592.0
48113020600,,,801.0,785.0,16.0,2349.0,2038.0,1.0,221.0
48113020700,63229.0,167500.0,2253.0,1613.0,640.0,4577.0,3027.0,446.0,796.0
48113980000,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48113980100,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
