GEOID,DISTRICT_NUM,south_of_i30,population,median_income,pct_black,pct_hispanic,pct_nonwhite,ami_ratio,below_80_ami,cip_per_capita,cip_per_capita_raw,cip_outlier,investment_gap,log_cip,log_income,holc_grade,holc_d,cip_drainage_share,cip_econdev_share,cip_parks_share,cip_streets_share
48113020402,2,0,6338,93842,35.6,16.8,52.400000000000006,0.9575714285714285,0,1040.958324365362,1040.958324365362,0,760.6346892323686,6.948857225702866,11.449367795973217,D,1,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113016709,8,1,3873,46259,38.0,51.4,89.4,0.47203061224489795,1,646.5226340567838,646.5226340567838,0,77.85209279669664,6.473153749034997,10.742011318604094,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113019034,10,0,5066,40833,40.6,21.3,61.900000000000006,0.41666326530612247,1,448.68145340758,448.68145340758,0,-195.55557468612784,6.1085394507815955,10.617245857000183,None,0,0.13133507034377961,0.0,0.021422478291566144,0.8472424513646543
48113019035,10,0,6266,36697,39.1,38.0,77.1,0.37445918367346936,1,448.6814534075799,448.6814534075799,0,-268.1654432910704,6.1085394507815955,10.51045028683224,None,0,0.13133507034377961,0.0,0.021422478291566144,0.8472424513646543
48113017101,8,1,6381,50473,9.8,72.9,82.7,0.515030612244898,1,646.5226340567838,646.5226340567838,0,125.33050027931131,6.473153749034997,10.829193818819975,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113019208,11,0,5578,55142,21.7,60.2,81.9,0.5626734693877551,1,521.8726987507254,521.8726987507254,0,44.81110199778982,6.259338028606563,10.917666955229395,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113013607,11,0,3436,144313,1.7,13.1,14.8,1.4725816326530612,0,521.8726987507254,521.8726987507254,0,339.5874537059243,6.259338028606563,11.879739830794184,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113015900,3,0,3485,43644,12.3,66.3,78.6,0.4453469387755102,1,501.7237558155702,501.7237558155702,0,-101.01958961909139,6.220040826028309,10.68382109477499,None,0,0.11903494505758273,0.0,0.0,0.8809650549424173
48113012604,9,0,6798,49922,44.6,40.6,85.2,0.5094081632653061,1,532.7493658553295,532.7493658553295,0,5.804720846107671,6.279926376449069,10.818217066343328,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113013010,9,0,5189,40125,29.8,50.6,80.4,0.4094387755102041,1,532.7493658553294,532.7493658553294,0,-122.85513428548984,6.279926376449069,10.599754860432316,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113013621,11,0,4518,70376,30.7,24.6,55.3,0.7181224489795919,1,521.8726987507254,521.8726987507254,0,148.07864157000512,6.259338028606563,11.16160757493251,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113018142,9,0,4263,102563,12.6,32.1,44.7,1.046561224489796,0,532.7493658553294,532.7493658553294,0,276.26183557491277,6.279926376449069,11.538232522896736,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113018141,9,0,3331,47414,31.5,32.9,64.4,0.48381632653061224,1,532.7493658553295,532.7493658553295,0,-22.068421468042743,6.279926376449069,10.766672822723178,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113018137,9,0,4386,72788,18.5,24.4,42.9,0.742734693877551,1,532.7493658553295,532.7493658553295,0,171.34184582248935,6.279926376449069,11.195306385433133,None,0,0.0746826774743875,0.0,0.0600848117099909,0.8652325108156216
48113019213,11,0,3334,28814,25.0,59.8,84.8,0.2940204081632653,1,521.8726987507254,521.8726987507254,0,-391.0908109372864,6.259338028606563,10.268616659121419,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113010903,3,0,4418,37090,54.9,40.4,95.3,0.378469387755102,1,501.7237558155702,501.7237558155702,0,-207.52754017122862,6.220040826028309,10.521102670483636,None,0,0.11903494505758273,0.0,0.0,0.8809650549424173
48113001703,14,0,3758,117740,2.0,11.9,13.9,1.2014285714285715,0,960.6623024151444,960.6623024151444,0,737.2366988127121,6.868663352047305,11.676234082582253,C,0,0.11223589939386747,0.0,0.0,0.8877641006061325
48113019212,11,0,2793,40036,8.9,87.8,96.7,0.40853061224489795,1,521.8726987507254,521.8726987507254,0,-135.1892097353964,6.259338028606563,10.59753432833891,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113020300,7,1,2288,47372,76.8,11.8,88.6,0.4833877551020408,1,1455.248382701652,1455.248382701652,0,899.9386941060602,7.283618806722254,10.765786615841385,C,0,0.25274053091005616,0.0,0.010664062964589969,0.7365954061253539
48113020500,6,1,6363,32907,42.5,40.4,82.9,0.3357857142857143,1,1144.4546608156193,1144.4546608156193,0,345.046310976668,7.043556920853242,10.401440680079444,D,1,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113020600,13,0,2023,250001,0.0,7.6,7.6,2.551030612244898,0,720.4278836140197,720.4278836140197,0,615.2037822378238,6.581232419807328,12.429220196836383,None,0,0.036043220343681015,0.0,0.0,0.963956779656319
48113012301,2,0,4783,60317,18.2,61.7,79.9,0.6154795918367347,1,1040.958324365362,1040.958324365362,0,604.8270418388707,6.948857225702866,11.007369266697014,None,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113012302,2,0,8885,44176,35.5,50.6,86.1,0.45077551020408163,1,1040.958324365362,1040.958324365362,0,445.47365920440643,6.948857225702866,10.695936934169936,None,0,0.2744964945778619,0.0,0.010918564247938387,0.7145849411741997
48113013626,11,0,2833,73971,29.6,32.5,62.1,0.7548061224489796,1,521.8726987507254,521.8726987507254,0,166.24508024955094,6.259338028606563,11.21142840348472,None,0,0.06771329539799688,0.0,0.012708053008966535,0.9195786515930365
48113011002,4,0,3666,65789,64.7,20.6,85.30000000000001,0.6713163265306122,1,584.3445174446689,584.3445174446689,0,184.48845384512538,6.372200592596124,11.094207930086123,None,0,0.06735801873091203,0.0,0.022501233371540308,0.9101407478975477
48113011101,8,1,4552,67964,71.6,24.1,95.7,0.6935102040816327,1,646.5226340567838,646.5226340567838,0,259.4628587617692,6.473153749034997,11.126733432205649,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113011103,3,0,3317,39186,36.6,57.4,94.0,0.39985714285714286,1,501.72375581557026,501.72375581557026,0,-169.59075875979772,6.220040826028309,10.576074819130712,None,0,0.11903494505758273,0.0,0.0,0.8809650549424173
48113011104,8,1,5353,42344,52.0,46.4,98.4,0.4320816326530612,1,646.5226340567838,646.5226340567838,0,25.274509927028134,6.473153749034997,10.653582013537823,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
48113010101,6,1,4370,45051,38.2,57.0,95.2,0.4597040816326531,1,1144.4546608156195,1144.4546608156195,0,560.5357562818606,7.043556920853242,10.71555046034839,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113010102,6,1,3425,58953,3.9,94.5,98.4,0.6015612244897959,1,1144.4546608156195,1144.4546608156195,0,698.2325759658177,7.043556920853242,10.984495795255876,D,1,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113010500,6,1,3147,56904,14.5,80.3,94.8,0.5806530612244898,1,1144.4546608156195,1144.4546608156195,0,682.1650051121474,7.043556920853242,10.949120916413351,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113010601,6,1,5765,65769,5.4,95.9,100.0,0.6711122448979592,1,1144.4546608156195,1144.4546608156195,0,744.477003132663,7.043556920853242,11.093903881679275,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113010602,6,1,3015,36910,28.7,63.2,91.9,0.3766326530612245,1,1144.4546608156195,1144.4546608156195,0,431.7445397603399,7.043556920853242,10.516237796024043,None,0,0.1961514462276044,0.0,0.010856563454895331,0.7929919903175002
48113020200,8,1,4262,36587,62.6,36.0,98.6,0.37333673469387757,1,646.5226340567838,646.5226340567838,0,-72.47948604462852,6.473153749034997,10.507448265037272,None,0,0.036454034425160285,0.0,0.0,0.9635459655748397
